address,time,value
0014.4F01.0000.3560,2013-09-17 20:56:23.121,73
0014.4F01.0000.7811,2013-09-17 20:56:23.861,67
0014.4F01.0000.35EC,2013-09-17 20:56:24.705,83
0014.4F01.0000.3560,2013-09-17 20:56:26.122,73
0014.4F01.0000.7811,2013-09-17 20:56:26.862,67
0014.4F01.0000.35EC,2013-09-17 20:56:27.706,84
0014.4F01.0000.3560,2013-09-17 20:56:29.124,72
0014.4F01.0000.7811,2013-09-17 20:56:29.864,67
0014.4F01.0000.35EC,2013-09-17 20:56:30.707,84
0014.4F01.0000.3560,2013-09-17 20:56:32.127,72
0014.4F01.0000.7811,2013-09-17 20:56:32.865,67
0014.4F01.0000.35EC,2013-09-17 20:56:33.708,83
0014.4F01.0000.3560,2013-09-17 20:56:35.128,73
0014.4F01.0000.7811,2013-09-17 20:56:35.866,67
0014.4F01.0000.35EC,2013-09-17 20:56:36.709,84
0014.4F01.0000.3560,2013-09-17 20:56:38.129,73
0014.4F01.0000.7811,2013-09-17 20:56:38.867,67
0014.4F01.0000.35EC,2013-09-17 20:56:39.71,84
0014.4F01.0000.3560,2013-09-17 20:56:41.13,73
0014.4F01.0000.7811,2013-09-17 20:56:41.868,67
0014.4F01.0000.35EC,2013-09-17 20:56:42.712,84
0014.4F01.0000.3560,2013-09-17 20:56:44.132,73
0014.4F01.0000.7811,2013-09-17 20:56:44.869,67
0014.4F01.0000.35EC,2013-09-17 20:56:45.713,85
0014.4F01.0000.3560,2013-09-17 20:56:47.133,73
0014.4F01.0000.7811,2013-09-17 20:56:47.87,67
0014.4F01.0000.35EC,2013-09-17 20:56:48.714,84
0014.4F01.0000.3560,2013-09-17 20:56:50.135,71
0014.4F01.0000.7811,2013-09-17 20:56:50.871,67
0014.4F01.0000.35EC,2013-09-17 20:56:51.716,84
0014.4F01.0000.3560,2013-09-17 20:56:53.138,72
0014.4F01.0000.7811,2013-09-17 20:56:53.872,67
0014.4F01.0000.35EC,2013-09-17 20:56:54.718,85
0014.4F01.0000.3560,2013-09-17 20:56:56.139,73
0014.4F01.0000.7811,2013-09-17 20:56:56.873,67
0014.4F01.0000.35EC,2013-09-17 20:56:57.719,84
0014.4F01.0000.3560,2013-09-17 20:56:59.14,73
0014.4F01.0000.7811,2013-09-17 20:56:59.874,67
0014.4F01.0000.35EC,2013-09-17 20:57:00.72,85
0014.4F01.0000.3560,2013-09-17 20:57:02.141,73
0014.4F01.0000.7811,2013-09-17 20:57:02.875,67
0014.4F01.0000.35EC,2013-09-17 20:57:03.722,85
0014.4F01.0000.3560,2013-09-17 20:57:05.143,71
0014.4F01.0000.7811,2013-09-17 20:57:05.876,67
0014.4F01.0000.35EC,2013-09-17 20:57:06.723,85
0014.4F01.0000.3560,2013-09-17 20:57:08.144,72
0014.4F01.0000.7811,2013-09-17 20:57:08.877,67
0014.4F01.0000.35EC,2013-09-17 20:57:09.724,85
0014.4F01.0000.3560,2013-09-17 20:57:11.145,72
0014.4F01.0000.7811,2013-09-17 20:57:11.878,67
0014.4F01.0000.35EC,2013-09-17 20:57:12.725,85
0014.4F01.0000.3560,2013-09-17 20:57:14.147,72
0014.4F01.0000.7811,2013-09-17 20:57:14.879,67
0014.4F01.0000.35EC,2013-09-17 20:57:15.726,85
0014.4F01.0000.3560,2013-09-17 20:57:17.148,73
0014.4F01.0000.7811,2013-09-17 20:57:17.88,67
0014.4F01.0000.35EC,2013-09-17 20:57:18.727,85
0014.4F01.0000.3560,2013-09-17 20:57:20.15,73
0014.4F01.0000.7811,2013-09-17 20:57:20.881,67
0014.4F01.0000.35EC,2013-09-17 20:57:21.728,84
0014.4F01.0000.3560,2013-09-17 20:57:23.152,72
0014.4F01.0000.7811,2013-09-17 20:57:23.882,67
0014.4F01.0000.35EC,2013-09-17 20:57:24.729,85
0014.4F01.0000.3560,2013-09-17 20:57:26.153,72
0014.4F01.0000.7811,2013-09-17 20:57:26.883,67
0014.4F01.0000.35EC,2013-09-17 20:57:27.731,85
0014.4F01.0000.3560,2013-09-17 20:57:29.154,72
0014.4F01.0000.7811,2013-09-17 20:57:29.884,67
0014.4F01.0000.35EC,2013-09-17 20:57:30.732,85
0014.4F01.0000.3560,2013-09-17 20:57:32.155,73
0014.4F01.0000.7811,2013-09-17 20:57:32.885,67
0014.4F01.0000.35EC,2013-09-17 20:57:33.733,85
0014.4F01.0000.3560,2013-09-17 20:57:35.157,73
0014.4F01.0000.7811,2013-09-17 20:57:35.886,67
0014.4F01.0000.35EC,2013-09-17 20:57:36.734,85
0014.4F01.0000.3560,2013-09-17 20:57:38.158,73
0014.4F01.0000.7811,2013-09-17 20:57:38.887,67
0014.4F01.0000.35EC,2013-09-17 20:57:39.735,85
0014.4F01.0000.3560,2013-09-17 20:57:41.159,73
0014.4F01.0000.7811,2013-09-17 20:57:41.888,67
0014.4F01.0000.35EC,2013-09-17 20:57:42.736,86
0014.4F01.0000.3560,2013-09-17 20:57:44.161,72
0014.4F01.0000.7811,2013-09-17 20:57:44.889,67
0014.4F01.0000.35EC,2013-09-17 20:57:45.737,86
0014.4F01.0000.3560,2013-09-17 20:57:47.162,73
0014.4F01.0000.7811,2013-09-17 20:57:47.89,67
0014.4F01.0000.35EC,2013-09-17 20:57:48.738,85
0014.4F01.0000.3560,2013-09-17 20:57:50.164,73
0014.4F01.0000.7811,2013-09-17 20:57:50.891,67
0014.4F01.0000.35EC,2013-09-17 20:57:51.739,86
0014.4F01.0000.3560,2013-09-17 20:57:53.165,73
0014.4F01.0000.7811,2013-09-17 20:57:53.892,67
