address,time,value
0014.4F01.0000.3560,2013-09-17 20:59:47.217,73
0014.4F01.0000.7811,2013-09-17 20:59:47.93,68
0014.4F01.0000.35EC,2013-09-17 20:59:48.785,89
0014.4F01.0000.3560,2013-09-17 20:59:50.218,73
0014.4F01.0000.7811,2013-09-17 20:59:50.931,68
0014.4F01.0000.35EC,2013-09-17 20:59:51.786,89
0014.4F01.0000.3560,2013-09-17 20:59:53.219,73
0014.4F01.0000.7811,2013-09-17 20:59:53.932,68
0014.4F01.0000.35EC,2013-09-17 20:59:54.787,89
0014.4F01.0000.3560,2013-09-17 20:59:56.221,72
0014.4F01.0000.7811,2013-09-17 20:59:56.933,68
0014.4F01.0000.35EC,2013-09-17 20:59:57.789,89
0014.4F01.0000.3560,2013-09-17 20:59:59.222,74
0014.4F01.0000.7811,2013-09-17 20:59:59.934,68
0014.4F01.0000.35EC,2013-09-17 21:00:00.79,88
0014.4F01.0000.3560,2013-09-17 21:00:02.223,73
0014.4F01.0000.7811,2013-09-17 21:00:02.935,68
0014.4F01.0000.35EC,2013-09-17 21:00:03.791,88
0014.4F01.0000.3560,2013-09-17 21:00:05.224,74
0014.4F01.0000.7811,2013-09-17 21:00:05.936,68
0014.4F01.0000.35EC,2013-09-17 21:00:06.792,88
0014.4F01.0000.3560,2013-09-17 21:00:08.225,73
0014.4F01.0000.7811,2013-09-17 21:00:08.937,68
0014.4F01.0000.35EC,2013-09-17 21:00:09.793,88
0014.4F01.0000.3560,2013-09-17 21:00:11.226,72
0014.4F01.0000.7811,2013-09-17 21:00:11.938,68
0014.4F01.0000.35EC,2013-09-17 21:00:12.794,89
0014.4F01.0000.3560,2013-09-17 21:00:14.227,72
0014.4F01.0000.7811,2013-09-17 21:00:14.939,68
0014.4F01.0000.35EC,2013-09-17 21:00:15.795,88
0014.4F01.0000.3560,2013-09-17 21:00:17.228,73
0014.4F01.0000.7811,2013-09-17 21:00:17.94,68
0014.4F01.0000.35EC,2013-09-17 21:00:18.796,89
0014.4F01.0000.3560,2013-09-17 21:00:20.229,74
0014.4F01.0000.7811,2013-09-17 21:00:20.941,68
0014.4F01.0000.35EC,2013-09-17 21:00:21.797,89
0014.4F01.0000.3560,2013-09-17 21:00:23.23,74
0014.4F01.0000.7811,2013-09-17 21:00:23.942,68
0014.4F01.0000.35EC,2013-09-17 21:00:24.798,88
0014.4F01.0000.7811,2013-09-17 21:00:26.943,68
0014.4F01.0000.35EC,2013-09-17 21:00:27.799,88
0014.4F01.0000.3560,2013-09-17 21:00:29.232,73
0014.4F01.0000.7811,2013-09-17 21:00:29.944,68
0014.4F01.0000.35EC,2013-09-17 21:00:30.8,89
0014.4F01.0000.3560,2013-09-17 21:00:32.234,73
0014.4F01.0000.7811,2013-09-17 21:00:32.945,68
0014.4F01.0000.35EC,2013-09-17 21:00:33.801,89
0014.4F01.0000.3560,2013-09-17 21:00:35.235,73
0014.4F01.0000.7811,2013-09-17 21:00:35.946,68
0014.4F01.0000.35EC,2013-09-17 21:00:36.802,89
0014.4F01.0000.3560,2013-09-17 21:00:38.237,73
0014.4F01.0000.7811,2013-09-17 21:00:38.947,68
0014.4F01.0000.35EC,2013-09-17 21:00:39.803,90
0014.4F01.0000.7811,2013-09-17 21:00:41.948,68
0014.4F01.0000.35EC,2013-09-17 21:00:42.804,90
0014.4F01.0000.3560,2013-09-17 21:00:44.239,73
0014.4F01.0000.7811,2013-09-17 21:00:44.949,68
0014.4F01.0000.3560,2013-09-17 21:00:47.24,72
0014.4F01.0000.7811,2013-09-17 21:00:47.95,68
0014.4F01.0000.35EC,2013-09-17 21:00:48.806,90
0014.4F01.0000.3560,2013-09-17 21:00:50.241,73
0014.4F01.0000.7811,2013-09-17 21:00:50.951,68
0014.4F01.0000.35EC,2013-09-17 21:00:51.807,90
0014.4F01.0000.7811,2013-09-17 21:00:53.952,68
0014.4F01.0000.35EC,2013-09-17 21:00:54.808,90
0014.4F01.0000.7811,2013-09-17 21:00:56.953,68
0014.4F01.0000.35EC,2013-09-17 21:00:57.809,90
0014.4F01.0000.7811,2013-09-17 21:00:59.954,68
0014.4F01.0000.35EC,2013-09-17 21:01:00.81,91
0014.4F01.0000.7811,2013-09-17 21:01:02.955,68
0014.4F01.0000.35EC,2013-09-17 21:01:03.811,89
0014.4F01.0000.7811,2013-09-17 21:01:05.956,68
