address,time,value
0014.4F01.0000.3560,2013-09-18 14:13:20.162,77
0014.4F01.0000.7811,2013-09-18 14:13:20.908,76
0014.4F01.0000.35EC,2013-09-18 14:13:22.979,78
0014.4F01.0000.3560,2013-09-18 14:13:23.163,78
0014.4F01.0000.7811,2013-09-18 14:13:23.91,77
0014.4F01.0000.35EC,2013-09-18 14:13:25.98,78
0014.4F01.0000.3560,2013-09-18 14:13:26.164,78
0014.4F01.0000.7811,2013-09-18 14:13:26.911,77
0014.4F01.0000.35EC,2013-09-18 14:13:28.982,78
0014.4F01.0000.3560,2013-09-18 14:13:29.166,78
0014.4F01.0000.7811,2013-09-18 14:13:29.912,76
0014.4F01.0000.35EC,2013-09-18 14:13:31.987,78
0014.4F01.0000.3560,2013-09-18 14:13:32.168,78
0014.4F01.0000.7811,2013-09-18 14:13:32.913,76
0014.4F01.0000.35EC,2013-09-18 14:13:34.988,78
0014.4F01.0000.3560,2013-09-18 14:13:35.169,78
0014.4F01.0000.7811,2013-09-18 14:13:35.914,77
0014.4F01.0000.35EC,2013-09-18 14:13:37.99,78
0014.4F01.0000.3560,2013-09-18 14:13:38.17,78
0014.4F01.0000.7811,2013-09-18 14:13:38.915,77
0014.4F01.0000.35EC,2013-09-18 14:13:40.992,79
0014.4F01.0000.3560,2013-09-18 14:13:41.172,79
0014.4F01.0000.7811,2013-09-18 14:13:41.916,77
0014.4F01.0000.35EC,2013-09-18 14:13:43.993,79
0014.4F01.0000.3560,2013-09-18 14:13:44.173,78
0014.4F01.0000.7811,2013-09-18 14:13:44.917,77
0014.4F01.0000.35EC,2013-09-18 14:13:46.994,79
0014.4F01.0000.3560,2013-09-18 14:13:47.174,77
0014.4F01.0000.7811,2013-09-18 14:13:47.918,77
0014.4F01.0000.35EC,2013-09-18 14:13:49.995,79
0014.4F01.0000.3560,2013-09-18 14:13:50.175,79
0014.4F01.0000.7811,2013-09-18 14:13:50.919,76
0014.4F01.0000.35EC,2013-09-18 14:13:52.996,79
0014.4F01.0000.3560,2013-09-18 14:13:53.176,78
0014.4F01.0000.7811,2013-09-18 14:13:53.92,77
0014.4F01.0000.35EC,2013-09-18 14:13:55.997,79
0014.4F01.0000.3560,2013-09-18 14:13:56.178,77
0014.4F01.0000.7811,2013-09-18 14:13:56.921,77
0014.4F01.0000.35EC,2013-09-18 14:13:58.998,79
0014.4F01.0000.3560,2013-09-18 14:13:59.179,79
0014.4F01.0000.7811,2013-09-18 14:13:59.922,77
0014.4F01.0000.35EC,2013-09-18 14:14:01.999,79
0014.4F01.0000.3560,2013-09-18 14:14:02.18,78
0014.4F01.0000.7811,2013-09-18 14:14:02.923,77
0014.4F01.0000.35EC,2013-09-18 14:14:05.0,79
0014.4F01.0000.3560,2013-09-18 14:14:05.182,79
0014.4F01.0000.7811,2013-09-18 14:14:05.924,76
0014.4F01.0000.35EC,2013-09-18 14:14:08.002,78
0014.4F01.0000.3560,2013-09-18 14:14:08.183,78
0014.4F01.0000.7811,2013-09-18 14:14:08.925,77
0014.4F01.0000.35EC,2013-09-18 14:14:11.003,79
0014.4F01.0000.3560,2013-09-18 14:14:11.184,78
0014.4F01.0000.7811,2013-09-18 14:14:11.926,77
0014.4F01.0000.35EC,2013-09-18 14:14:14.004,79
0014.4F01.0000.3560,2013-09-18 14:14:14.185,79
0014.4F01.0000.7811,2013-09-18 14:14:14.927,77
0014.4F01.0000.35EC,2013-09-18 14:14:17.005,79
0014.4F01.0000.3560,2013-09-18 14:14:17.186,78
0014.4F01.0000.7811,2013-09-18 14:14:17.928,77
0014.4F01.0000.35EC,2013-09-18 14:14:20.014,78
0014.4F01.0000.3560,2013-09-18 14:14:20.188,78
0014.4F01.0000.7811,2013-09-18 14:14:20.929,77
0014.4F01.0000.35EC,2013-09-18 14:14:23.015,78
0014.4F01.0000.3560,2013-09-18 14:14:23.189,78
0014.4F01.0000.7811,2013-09-18 14:14:23.93,77
0014.4F01.0000.35EC,2013-09-18 14:14:26.017,79
0014.4F01.0000.3560,2013-09-18 14:14:26.19,79
0014.4F01.0000.7811,2013-09-18 14:14:26.931,77
0014.4F01.0000.35EC,2013-09-18 14:14:29.018,78
0014.4F01.0000.3560,2013-09-18 14:14:29.191,78
0014.4F01.0000.7811,2013-09-18 14:14:29.932,77
0014.4F01.0000.35EC,2013-09-18 14:14:32.019,79
0014.4F01.0000.3560,2013-09-18 14:14:32.192,78
