time,0014.4F01.0000.3560,0014.4F01.0000.7811,0014.4F01.0000.35EC
2013-09-17 21:05:20.38,73,,
2013-09-17 21:05:21.044,,69,
2013-09-17 21:05:21.921,,,85
2013-09-17 21:05:23.381,73,,
2013-09-17 21:05:24.045,,69,
2013-09-17 21:05:24.922,,,85
2013-09-17 21:05:26.383,73,,
2013-09-17 21:05:27.046,,69,
2013-09-17 21:05:27.923,,,85
2013-09-17 21:05:29.385,74,,
2013-09-17 21:05:30.047,,69,
2013-09-17 21:05:30.924,,,85
2013-09-17 21:05:32.387,73,,
2013-09-17 21:05:33.048,,69,
2013-09-17 21:05:33.925,,,85
2013-09-17 21:05:35.388,73,,
2013-09-17 21:05:36.049,,68,
2013-09-17 21:05:36.926,,,85
2013-09-17 21:05:38.389,73,,
2013-09-17 21:05:39.05,,68,
2013-09-17 21:05:39.927,,,85
2013-09-17 21:05:41.39,73,,
2013-09-17 21:05:42.051,,69,
2013-09-17 21:05:42.928,,,85
2013-09-17 21:05:44.391,74,,
2013-09-17 21:05:45.052,,69,
2013-09-17 21:05:45.929,,,85
2013-09-17 21:05:47.392,74,,
2013-09-17 21:05:48.053,,69,
2013-09-17 21:05:48.93,,,85
2013-09-17 21:05:50.393,74,,
2013-09-17 21:05:51.054,,69,
2013-09-17 21:05:51.931,,,85
2013-09-17 21:05:53.394,73,,
2013-09-17 21:05:54.055,,69,
2013-09-17 21:05:54.932,,,86
2013-09-17 21:05:56.396,73,,
2013-09-17 21:05:57.056,,69,
2013-09-17 21:05:57.933,,,85
2013-09-17 21:05:59.397,73,,
2013-09-17 21:06:00.057,,69,
2013-09-17 21:06:00.934,,,85
2013-09-17 21:06:02.398,74,,
2013-09-17 21:06:03.058,,68,
2013-09-17 21:06:03.935,,,85
2013-09-17 21:06:05.399,74,,
2013-09-17 21:06:06.059,,69,
2013-09-17 21:06:06.936,,,85
2013-09-17 21:06:08.4,73,,
2013-09-17 21:06:09.06,,69,
2013-09-17 21:06:09.937,,,85
2013-09-17 21:06:11.401,73,,
2013-09-17 21:06:12.061,,69,
2013-09-17 21:06:12.938,,,85
2013-09-17 21:06:14.404,73,,
2013-09-17 21:06:15.062,,69,
2013-09-17 21:06:15.939,,,85
2013-09-17 21:06:17.405,74,,
2013-09-17 21:06:18.063,,69,
2013-09-17 21:06:18.94,,,85
2013-09-17 21:06:20.406,74,,
2013-09-17 21:06:21.064,,69,
2013-09-17 21:06:21.941,,,84
2013-09-17 21:06:23.407,74,,
2013-09-17 21:06:24.065,,69,
2013-09-17 21:06:24.942,,,84
2013-09-17 21:06:26.408,73,,
2013-09-17 21:06:27.066,,69,
2013-09-17 21:06:27.943,,,83
2013-09-17 21:06:29.409,73,,
2013-09-17 21:06:30.067,,69,
2013-09-17 21:06:30.944,,,83
2013-09-17 21:06:32.41,74,,
2013-09-17 21:06:33.068,,69,
2013-09-17 21:06:33.945,,,83
2013-09-17 21:06:35.411,74,,
2013-09-17 21:06:36.069,,69,
2013-09-17 21:06:36.946,,,83
2013-09-17 21:06:38.412,74,,
2013-09-17 21:06:39.07,,69,
2013-09-17 21:06:39.947,,,83
2013-09-17 21:06:41.413,73,,
2013-09-17 21:06:42.071,,69,
2013-09-17 21:06:42.948,,,83
2013-09-17 21:06:44.414,73,,
2013-09-17 21:06:45.072,,69,
2013-09-17 21:06:45.949,,,83
2013-09-17 21:06:47.416,73,,
2013-09-17 21:06:48.073,,69,
2013-09-17 21:06:48.95,,,83
2013-09-17 21:06:50.417,73,,
2013-09-17 21:06:51.074,,69,
2013-09-17 21:06:51.951,,,84
2013-09-17 21:06:53.418,74,,
2013-09-17 21:06:54.075,,69,
2013-09-17 21:06:54.952,,,83
2013-09-17 21:06:56.419,73,,
2013-09-17 21:06:57.076,,69,
2013-09-17 21:06:57.953,,,83
2013-09-17 21:06:59.423,74,,
2013-09-17 21:07:00.077,,69,
2013-09-17 21:07:00.954,,,84
2013-09-17 21:07:02.424,73,,
2013-09-17 21:07:03.078,,69,
2013-09-17 21:07:03.955,,,84
2013-09-17 21:07:05.425,73,,
2013-09-17 21:07:06.079,,69,
2013-09-17 21:07:06.956,,,84
2013-09-17 21:07:08.427,73,,
2013-09-17 21:07:09.08,,69,
2013-09-17 21:07:09.957,,,83
2013-09-17 21:07:11.43,74,,
2013-09-17 21:07:12.081,,69,
2013-09-17 21:07:12.958,,,83
2013-09-17 21:07:14.431,74,,
2013-09-17 21:07:15.082,,69,
2013-09-17 21:07:15.959,,,83
2013-09-17 21:07:17.432,73,,
2013-09-17 21:07:18.083,,69,
2013-09-17 21:07:18.96,,,83
2013-09-17 21:07:20.433,73,,
2013-09-17 21:07:21.084,,69,
2013-09-17 21:07:21.961,,,82
2013-09-17 21:07:23.436,74,,
2013-09-17 21:07:24.085,,69,
2013-09-17 21:07:24.962,,,83
2013-09-17 21:07:26.437,74,,
2013-09-17 21:07:27.086,,69,
2013-09-17 21:07:27.963,,,82
2013-09-17 21:07:29.438,74,,
2013-09-17 21:07:30.087,,69,
2013-09-17 21:07:30.965,,,82
2013-09-17 21:07:32.439,73,,
2013-09-17 21:07:33.088,,69,
2013-09-17 21:07:33.966,,,83
2013-09-17 21:07:35.44,73,,
2013-09-17 21:07:36.089,,69,
2013-09-17 21:07:36.967,,,82
2013-09-17 21:07:38.442,73,,
2013-09-17 21:07:39.09,,69,
2013-09-17 21:07:39.968,,,82
2013-09-17 21:07:41.443,74,,
2013-09-17 21:07:42.091,,69,
2013-09-17 21:07:42.97,,,82
2013-09-17 21:07:44.446,74,,
2013-09-17 21:07:45.092,,69,
2013-09-17 21:07:45.971,,,82
2013-09-17 21:07:47.447,74,,
2013-09-17 21:07:48.093,,69,
2013-09-17 21:07:48.972,,,82
2013-09-17 21:07:50.448,73,,
2013-09-17 21:07:51.094,,69,
2013-09-17 21:07:51.973,,,82
2013-09-17 21:07:53.449,74,,
2013-09-17 21:07:54.095,,69,
2013-09-17 21:07:54.974,,,81
2013-09-17 21:07:56.45,73,,
2013-09-17 21:07:57.096,,69,
2013-09-17 21:07:57.976,,,81
2013-09-17 21:07:59.452,74,,
2013-09-17 21:08:00.097,,69,
2013-09-17 21:08:00.977,,,81
2013-09-17 21:08:02.453,75,,
2013-09-17 21:08:03.098,,69,
2013-09-17 21:08:03.978,,,81
2013-09-17 21:08:05.456,73,,
