time,0014.4F01.0000.3560,0014.4F01.0000.35EC
2013-09-19 13:51:49.216,80.96000000000001,
2013-09-19 13:51:49.135,,81.5
2013-09-19 13:51:52.219,81.5,
2013-09-19 13:51:52.136,,80.96000000000001
2013-09-19 13:51:55.22,82.03999999999999,
2013-09-19 13:51:55.137,,80.42
2013-09-19 13:51:58.221,80.96000000000001,
2013-09-19 13:51:58.139,,80.42
2013-09-19 13:52:01.222,81.5,
2013-09-19 13:52:01.141,,80.42
2013-09-19 13:52:04.223,81.5,
2013-09-19 13:52:04.142,,80.42
2013-09-19 13:52:07.224,81.5,
2013-09-19 13:52:07.143,,80.42
2013-09-19 13:52:10.225,80.42,
2013-09-19 13:52:10.144,,80.96000000000001
2013-09-19 13:52:13.226,80.96000000000001,
2013-09-19 13:52:13.145,,80.42
2013-09-19 13:52:16.228,81.5,
2013-09-19 13:52:16.146,,80.42
2013-09-19 13:52:19.229,81.5,
2013-09-19 13:52:19.147,,80.42
2013-09-19 13:52:22.231,80.96000000000001,
2013-09-19 13:52:22.148,,80.42
2013-09-19 13:52:25.234,81.5,
2013-09-19 13:52:25.149,,80.42
2013-09-19 13:52:28.235,81.5,
2013-09-19 13:52:28.15,,80.42
2013-09-19 13:52:31.236,80.96000000000001,
2013-09-19 13:52:31.151,,80.42
2013-09-19 13:52:34.239,80.96000000000001,
2013-09-19 13:52:34.152,,80.96000000000001
2013-09-19 13:52:37.24,81.5,
2013-09-19 13:52:37.153,,80.42
2013-09-19 13:52:40.243,81.5,
2013-09-19 13:52:40.154,,80.96000000000001
2013-09-19 13:52:43.244,80.96000000000001,
2013-09-19 13:52:43.155,,81.5
2013-09-19 13:52:46.245,80.96000000000001,
2013-09-19 13:52:46.156,,81.5
2013-09-19 13:52:49.246,81.5,
2013-09-19 13:52:49.157,,81.5
2013-09-19 13:52:52.247,80.96000000000001,
2013-09-19 13:52:52.162,,81.5
2013-09-19 13:52:55.248,80.42,
2013-09-19 13:52:55.163,,80.96000000000001
2013-09-19 13:52:58.251,82.03999999999999,
2013-09-19 13:52:58.164,,81.5
2013-09-19 13:53:01.252,80.96000000000001,
2013-09-19 13:53:01.165,,81.5
2013-09-19 13:53:04.253,80.42,
2013-09-19 13:53:04.166,,81.5
2013-09-19 13:53:07.255,81.5,
2013-09-19 13:53:07.167,,80.96000000000001
2013-09-19 13:53:10.256,81.5,
2013-09-19 13:53:10.168,,80.96000000000001
2013-09-19 13:53:13.257,82.03999999999999,
2013-09-19 13:53:13.169,,80.96000000000001
2013-09-19 13:53:16.259,80.42,
2013-09-19 13:53:16.171,,80.96000000000001
2013-09-19 13:53:19.26,81.5,
2013-09-19 13:53:19.173,,81.5
2013-09-19 13:53:22.261,82.03999999999999,
2013-09-19 13:53:22.174,,80.96000000000001
2013-09-19 13:53:25.262,80.96000000000001,
2013-09-19 13:53:25.175,,80.96000000000001
2013-09-19 13:53:28.263,80.42,
2013-09-19 13:53:28.176,,80.96000000000001
2013-09-19 13:53:31.177,,80.96000000000001
2013-09-19 13:53:34.265,82.03999999999999,
2013-09-19 13:53:34.178,,81.5
2013-09-19 13:53:37.266,80.96000000000001,
2013-09-19 13:53:37.179,,81.5
2013-09-19 13:53:40.267,80.42,
2013-09-19 13:53:40.18,,80.96000000000001
2013-09-19 13:53:43.268,81.5,
2013-09-19 13:53:43.181,,81.5
2013-09-19 13:53:46.269,80.96000000000001,
2013-09-19 13:53:46.182,,81.5
2013-09-19 13:53:49.271,80.42,
2013-09-19 13:53:49.185,,81.5
2013-09-19 13:53:52.272,81.5,
2013-09-19 13:53:52.186,,80.96000000000001
2013-09-19 13:53:55.273,81.5,
2013-09-19 13:53:55.187,,80.42
2013-09-19 13:53:58.274,82.03999999999999,
2013-09-19 13:53:58.187,,80.42
2013-09-19 13:54:01.276,80.96000000000001,
2013-09-19 13:54:01.188,,80.42
2013-09-19 13:54:04.277,81.5,
2013-09-19 13:54:04.189,,80.42
2013-09-19 13:54:07.278,82.03999999999999,
2013-09-19 13:54:07.19,,80.42
2013-09-19 13:54:10.279,80.96000000000001,
2013-09-19 13:54:10.191,,80.42
2013-09-19 13:54:13.28,80.42,
2013-09-19 13:54:13.192,,80.42
2013-09-19 13:54:16.281,81.5,
2013-09-19 13:54:16.193,,80.42
2013-09-19 13:54:19.282,81.5,
2013-09-19 13:54:19.194,,80.42
2013-09-19 13:54:22.283,80.96000000000001,
2013-09-19 13:54:22.196,,80.42
2013-09-19 13:54:25.285,80.96000000000001,
2013-09-19 13:54:25.197,,79.88
2013-09-19 13:54:28.286,80.42,
2013-09-19 13:54:28.198,,80.42
2013-09-19 13:54:31.287,81.5,
2013-09-19 13:54:31.199,,80.42
2013-09-19 13:54:34.288,81.5,
2013-09-19 13:54:34.201,,81.5
2013-09-19 13:54:37.289,80.42,
2013-09-19 13:54:37.202,,81.5
2013-09-19 13:54:40.29,80.96000000000001,
2013-09-19 13:54:40.203,,81.5
2013-09-19 13:54:43.291,81.5,
2013-09-19 13:54:43.204,,81.5
2013-09-19 13:54:46.292,81.5,
2013-09-19 13:54:46.205,,81.5
2013-09-19 13:54:49.293,80.96000000000001,
2013-09-19 13:54:49.206,,80.96000000000001
2013-09-19 13:54:52.294,80.96000000000001,
2013-09-19 13:54:52.207,,81.5
2013-09-19 13:54:55.295,82.03999999999999,
2013-09-19 13:54:55.208,,81.5
2013-09-19 13:54:58.296,81.5,
2013-09-19 13:54:58.209,,81.5
2013-09-19 13:55:01.297,80.96000000000001,
2013-09-19 13:55:01.21,,81.5
2013-09-19 13:55:04.298,80.96000000000001,
2013-09-19 13:55:04.211,,81.5
2013-09-19 13:55:07.299,81.5,
2013-09-19 13:55:07.213,,81.5
2013-09-19 13:55:10.3,80.96000000000001,
2013-09-19 13:55:10.214,,81.5
2013-09-19 13:55:13.301,80.42,
2013-09-19 13:55:13.215,,81.5
2013-09-19 13:55:16.302,81.5,
2013-09-19 13:55:16.216,,80.96000000000001
2013-09-19 13:55:19.303,81.5,
2013-09-19 13:55:19.217,,81.5
2013-09-19 13:55:22.304,81.5,
2013-09-19 13:55:22.218,,80.96000000000001
2013-09-19 13:55:25.305,80.42,
2013-09-19 13:55:25.219,,82.03999999999999
2013-09-19 13:55:28.306,81.5,
2013-09-19 13:55:28.22,,80.96000000000001
2013-09-19 13:55:31.307,81.5,
2013-09-19 13:55:31.221,,80.96000000000001
2013-09-19 13:55:34.308,81.5,
2013-09-19 13:55:34.223,,80.96000000000001
2013-09-19 13:55:37.309,80.96000000000001,
2013-09-19 13:55:37.225,,80.96000000000001
2013-09-19 13:55:40.31,80.42,
2013-09-19 13:55:40.226,,80.96000000000001
2013-09-19 13:55:43.311,80.42,
2013-09-19 13:55:43.228,,80.96000000000001
2013-09-19 13:55:46.312,80.96000000000001,
2013-09-19 13:55:46.229,,80.42
2013-09-19 13:55:49.314,80.96000000000001,
2013-09-19 13:55:49.231,,80.42
2013-09-19 13:55:52.315,80.42,
2013-09-19 13:55:52.232,,80.42
2013-09-19 13:55:55.316,81.5,
2013-09-19 13:55:55.233,,80.42
2013-09-19 13:55:58.317,80.96000000000001,
2013-09-19 13:55:58.234,,80.42
2013-09-19 13:56:01.318,80.42,
2013-09-19 13:56:01.235,,79.88
2013-09-19 13:56:04.319,80.42,
2013-09-19 13:56:04.236,,80.42
2013-09-19 13:56:07.32,81.5,
2013-09-19 13:56:07.237,,80.42
2013-09-19 13:56:10.323,81.5,
2013-09-19 13:56:10.238,,80.42
2013-09-19 13:56:13.324,80.42,
2013-09-19 13:56:16.325,81.5,
2013-09-19 13:56:16.24,,80.42
2013-09-19 13:56:19.326,80.96000000000001,
2013-09-19 13:56:19.241,,80.42
2013-09-19 13:56:22.327,81.5,
2013-09-19 13:56:22.242,,80.42
2013-09-19 13:56:25.328,80.42,
2013-09-19 13:56:25.243,,80.96000000000001
2013-09-19 13:56:28.329,80.42,
2013-09-19 13:56:28.244,,81.5
2013-09-19 13:56:31.33,81.5,
2013-09-19 13:56:31.245,,81.5
2013-09-19 13:56:34.331,81.5,
2013-09-19 13:56:34.246,,81.5
2013-09-19 13:56:37.332,80.96000000000001,
2013-09-19 13:56:37.247,,80.96000000000001
2013-09-19 13:56:40.336,80.42,
2013-09-19 13:56:40.248,,81.5
2013-09-19 13:56:43.337,81.5,
2013-09-19 13:56:43.249,,81.5
2013-09-19 13:56:46.338,81.5,
2013-09-19 13:56:46.25,,81.5
2013-09-19 13:56:49.339,81.5,
2013-09-19 13:56:49.254,,81.5
2013-09-19 13:56:52.341,80.96000000000001,
