time,0014.4F01.0000.35EC,0014.4F01.0000.3560,0014.4F01.0000.7811
2013-09-18 14:05:04.78,78,,
2013-09-18 14:05:04.954,,77,
2013-09-18 14:05:05.735,,,75
2013-09-18 14:05:07.782,79,,
2013-09-18 14:05:07.955,,77,
2013-09-18 14:05:08.736,,,76
2013-09-18 14:05:10.783,78,,
2013-09-18 14:05:10.956,,77,
2013-09-18 14:05:11.737,,,76
2013-09-18 14:05:13.784,79,,
2013-09-18 14:05:13.957,,78,
2013-09-18 14:05:14.738,,,76
2013-09-18 14:05:16.786,79,,
2013-09-18 14:05:16.958,,78,
2013-09-18 14:05:17.739,,,76
2013-09-18 14:05:19.787,79,,
2013-09-18 14:05:19.959,,77,
2013-09-18 14:05:20.74,,,76
2013-09-18 14:05:22.788,79,,
2013-09-18 14:05:22.96,,77,
2013-09-18 14:05:23.741,,,76
2013-09-18 14:05:25.789,79,,
2013-09-18 14:05:25.961,,78,
2013-09-18 14:05:26.742,,,76
2013-09-18 14:05:28.791,79,,
2013-09-18 14:05:28.963,,77,
2013-09-18 14:05:29.743,,,76
2013-09-18 14:05:31.792,79,,
2013-09-18 14:05:31.964,,78,
2013-09-18 14:05:32.744,,,76
2013-09-18 14:05:34.794,79,,
2013-09-18 14:05:34.965,,77,
2013-09-18 14:05:35.745,,,76
2013-09-18 14:05:37.795,79,,
2013-09-18 14:05:37.966,,78,
2013-09-18 14:05:38.746,,,76
2013-09-18 14:05:40.796,79,,
2013-09-18 14:05:40.967,,78,
2013-09-18 14:05:41.748,,,76
2013-09-18 14:05:43.797,78,,
2013-09-18 14:05:43.969,,77,
2013-09-18 14:05:44.749,,,76
2013-09-18 14:05:46.798,79,,
2013-09-18 14:05:46.97,,77,
2013-09-18 14:05:47.75,,,76
2013-09-18 14:05:49.799,79,,
2013-09-18 14:05:49.971,,78,
2013-09-18 14:05:50.751,,,76
2013-09-18 14:05:52.8,79,,
2013-09-18 14:05:52.972,,78,
2013-09-18 14:05:53.752,,,76
2013-09-18 14:05:55.801,79,,
2013-09-18 14:05:55.974,,78,
2013-09-18 14:05:56.753,,,76
2013-09-18 14:05:58.802,79,,
2013-09-18 14:05:58.975,,77,
2013-09-18 14:05:59.754,,,76
2013-09-18 14:06:01.803,79,,
2013-09-18 14:06:01.978,,78,
2013-09-18 14:06:02.755,,,76
2013-09-18 14:06:04.804,79,,
2013-09-18 14:06:04.98,,78,
2013-09-18 14:06:05.756,,,76
2013-09-18 14:06:07.805,79,,
2013-09-18 14:06:07.981,,77,
2013-09-18 14:06:08.757,,,76
2013-09-18 14:06:10.806,79,,
2013-09-18 14:06:10.982,,77,
2013-09-18 14:06:11.758,,,76
2013-09-18 14:06:13.807,79,,
2013-09-18 14:06:13.983,,78,
2013-09-18 14:06:14.759,,,76
2013-09-18 14:06:16.808,79,,
2013-09-18 14:06:16.985,,78,
2013-09-18 14:06:17.76,,,76
2013-09-18 14:06:19.809,79,,
2013-09-18 14:06:19.986,,78,
2013-09-18 14:06:20.761,,,76
2013-09-18 14:06:22.81,79,,
2013-09-18 14:06:22.988,,77,
2013-09-18 14:06:23.762,,,76
2013-09-18 14:06:25.811,79,,
2013-09-18 14:06:25.989,,78,
2013-09-18 14:06:26.763,,,76
2013-09-18 14:06:28.812,79,,
2013-09-18 14:06:28.991,,78,
2013-09-18 14:06:29.764,,,76
2013-09-18 14:06:31.814,79,,
2013-09-18 14:06:31.993,,77,
2013-09-18 14:06:32.765,,,76
2013-09-18 14:06:34.815,79,,
2013-09-18 14:06:34.994,,77,
2013-09-18 14:06:35.766,,,76
2013-09-18 14:06:37.816,78,,
2013-09-18 14:06:37.996,,77,
2013-09-18 14:06:38.767,,,76
2013-09-18 14:06:40.818,78,,
2013-09-18 14:06:40.997,,78,
2013-09-18 14:06:41.768,,,76
2013-09-18 14:06:43.819,78,,
2013-09-18 14:06:43.999,,77,
2013-09-18 14:06:44.769,,,76
2013-09-18 14:06:46.82,78,,
2013-09-18 14:06:47.0,,78,
2013-09-18 14:06:47.77,,,76
2013-09-18 14:06:49.821,78,,
2013-09-18 14:06:50.002,,78,
2013-09-18 14:06:50.771,,,76
2013-09-18 14:06:52.822,78,,
2013-09-18 14:06:53.003,,78,
2013-09-18 14:06:53.772,,,76
2013-09-18 14:06:55.824,78,,
2013-09-18 14:06:56.004,,78,
2013-09-18 14:06:56.773,,,76
2013-09-18 14:06:58.825,78,,
2013-09-18 14:06:59.006,,77,
2013-09-18 14:06:59.774,,,76
2013-09-18 14:07:01.827,78,,
2013-09-18 14:07:02.007,,77,
2013-09-18 14:07:02.775,,,76
2013-09-18 14:07:04.829,78,,
2013-09-18 14:07:05.008,,78,
2013-09-18 14:07:05.776,,,76
2013-09-18 14:07:07.83,78,,
2013-09-18 14:07:08.01,,78,
2013-09-18 14:07:08.777,,,76
2013-09-18 14:07:10.831,78,,
2013-09-18 14:07:11.011,,77,
2013-09-18 14:07:11.778,,,76
2013-09-18 14:07:13.833,78,,
2013-09-18 14:07:14.012,,77,
2013-09-18 14:07:14.779,,,76
2013-09-18 14:07:16.834,79,,
2013-09-18 14:07:17.013,,77,
2013-09-18 14:07:17.78,,,76
2013-09-18 14:07:19.835,78,,
2013-09-18 14:07:20.014,,78,
2013-09-18 14:07:20.781,,,76
2013-09-18 14:07:22.836,79,,
2013-09-18 14:07:23.015,,77,
2013-09-18 14:07:23.782,,,76
2013-09-18 14:07:25.837,79,,
2013-09-18 14:07:26.016,,77,
2013-09-18 14:07:26.783,,,76
2013-09-18 14:07:28.838,79,,
2013-09-18 14:07:29.017,,77,
2013-09-18 14:07:29.785,,,76
2013-09-18 14:07:31.839,78,,
2013-09-18 14:07:32.019,,78,
2013-09-18 14:07:32.786,,,76
2013-09-18 14:07:34.84,79,,
