address,time,value
0014.4F01.0000.7811,2013-09-19 12:42:58.322,43.070000000000064
0014.4F01.0000.3560,2013-09-19 12:42:58.972,45.14
0014.4F01.0000.7811,2013-09-19 12:43:01.323,43.070000000000064
0014.4F01.0000.35EC,2013-09-19 12:43:02.07,41.9
0014.4F01.0000.7811,2013-09-19 12:43:04.324,43.070000000000064
0014.4F01.0000.3560,2013-09-19 12:43:04.974,45.68
0014.4F01.0000.35EC,2013-09-19 12:43:05.071,41.36
0014.4F01.0000.7811,2013-09-19 12:43:07.326,43.070000000000064
0014.4F01.0000.3560,2013-09-19 12:43:07.978,44.6
0014.4F01.0000.3560,2013-09-19 12:43:10.979,45.68
0014.4F01.0000.35EC,2013-09-19 12:43:11.073,41.36
0014.4F01.0000.7811,2013-09-19 12:43:13.327,42.71000000000008
0014.4F01.0000.35EC,2013-09-19 12:43:14.074,41.36
0014.4F01.0000.7811,2013-09-19 12:43:16.328,43.070000000000064
0014.4F01.0000.3560,2013-09-19 12:43:16.982,45.14
0014.4F01.0000.7811,2013-09-19 12:43:19.329,42.71000000000008
0014.4F01.0000.3560,2013-09-19 12:43:19.982,45.68
0014.4F01.0000.35EC,2013-09-19 12:43:20.076,41.36
0014.4F01.0000.3560,2013-09-19 12:43:22.983,45.68
0014.4F01.0000.35EC,2013-09-19 12:43:23.08,40.82
0014.4F01.0000.7811,2013-09-19 12:43:25.33,43.070000000000064
0014.4F01.0000.3560,2013-09-19 12:43:25.985,44.6
0014.4F01.0000.35EC,2013-09-19 12:43:26.081,40.28
0014.4F01.0000.7811,2013-09-19 12:43:28.331,42.71000000000008
0014.4F01.0000.3560,2013-09-19 12:43:28.986,44.6
0014.4F01.0000.35EC,2013-09-19 12:43:29.082,40.28
0014.4F01.0000.3560,2013-09-19 12:43:31.987,44.6
0014.4F01.0000.3560,2013-09-19 12:43:34.988,45.14
0014.4F01.0000.35EC,2013-09-19 12:43:35.088,40.28
0014.4F01.0000.7811,2013-09-19 12:43:37.334,42.71000000000008
0014.4F01.0000.3560,2013-09-19 12:43:37.989,44.6
0014.4F01.0000.7811,2013-09-19 12:43:40.335,42.71000000000008
0014.4F01.0000.35EC,2013-09-19 12:43:41.09,41.9
0014.4F01.0000.7811,2013-09-19 12:43:43.336,42.35
0014.4F01.0000.35EC,2013-09-19 12:43:44.091,41.9
0014.4F01.0000.7811,2013-09-19 12:43:46.337,42.35
0014.4F01.0000.35EC,2013-09-19 12:43:47.092,41.9
0014.4F01.0000.7811,2013-09-19 12:43:49.338,42.35
0014.4F01.0000.35EC,2013-09-19 12:43:50.093,41.9
0014.4F01.0000.7811,2013-09-19 12:43:52.34,42.71000000000008
0014.4F01.0000.35EC,2013-09-19 12:43:53.094,41.36
0014.4F01.0000.7811,2013-09-19 12:43:55.341,42.71000000000008
0014.4F01.0000.35EC,2013-09-19 12:43:56.095,41.36
0014.4F01.0000.35EC,2013-09-19 12:43:59.096,40.28
0014.4F01.0000.35EC,2013-09-19 12:44:02.097,41.36
0014.4F01.0000.35EC,2013-09-19 12:44:05.098,41.36
0014.4F01.0000.35EC,2013-09-19 12:44:08.099,40.28
0014.4F01.0000.3560,2013-09-19 12:44:11.007,44.06
0014.4F01.0000.35EC,2013-09-19 12:44:11.102,40.28
0014.4F01.0000.3560,2013-09-19 12:44:14.009,44.6
0014.4F01.0000.35EC,2013-09-19 12:44:14.103,40.82
0014.4F01.0000.3560,2013-09-19 12:44:17.01,44.6
0014.4F01.0000.35EC,2013-09-19 12:44:17.104,40.28
0014.4F01.0000.7811,2013-09-19 12:44:19.351,41.99000000000002
0014.4F01.0000.35EC,2013-09-19 12:44:20.108,40.28
0014.4F01.0000.7811,2013-09-19 12:44:22.353,42.35
0014.4F01.0000.3560,2013-09-19 12:44:23.012,43.52
0014.4F01.0000.35EC,2013-09-19 12:44:26.11,41.36
0014.4F01.0000.35EC,2013-09-19 12:44:29.11,41.36
0014.4F01.0000.7811,2013-09-19 12:44:31.356,41.99000000000002
0014.4F01.0000.35EC,2013-09-19 12:44:32.111,41.36
0014.4F01.0000.7811,2013-09-19 12:44:34.357,41.99000000000002
0014.4F01.0000.35EC,2013-09-19 12:44:35.112,41.36
0014.4F01.0000.35EC,2013-09-19 12:44:38.113,41.36
0014.4F01.0000.3560,2013-09-19 12:44:41.021,44.06
0014.4F01.0000.7811,2013-09-19 12:44:43.36,41.99000000000002
0014.4F01.0000.3560,2013-09-19 12:44:44.022,44.6
