address,time,value
0014.4F01.0000.35EC,2013-09-18 14:57:24.869,82
0014.4F01.0000.3560,2013-09-18 14:57:26.193,79
0014.4F01.0000.7811,2013-09-18 14:57:24.838,74
0014.4F01.0000.35EC,2013-09-18 14:57:27.871,82
0014.4F01.0000.3560,2013-09-18 14:57:29.194,80
0014.4F01.0000.7811,2013-09-18 14:57:27.839,75
0014.4F01.0000.35EC,2013-09-18 14:57:30.873,82
0014.4F01.0000.3560,2013-09-18 14:57:32.195,80
0014.4F01.0000.7811,2013-09-18 14:57:30.84,75
0014.4F01.0000.35EC,2013-09-18 14:57:33.875,82
0014.4F01.0000.3560,2013-09-18 14:57:35.197,80
0014.4F01.0000.7811,2013-09-18 14:57:33.841,75
0014.4F01.0000.35EC,2013-09-18 14:57:36.877,82
0014.4F01.0000.3560,2013-09-18 14:57:38.198,79
0014.4F01.0000.7811,2013-09-18 14:57:36.842,75
0014.4F01.0000.35EC,2013-09-18 14:57:39.878,82
0014.4F01.0000.3560,2013-09-18 14:57:41.199,80
0014.4F01.0000.7811,2013-09-18 14:57:39.843,75
0014.4F01.0000.35EC,2013-09-18 14:57:42.88,82
0014.4F01.0000.3560,2013-09-18 14:57:44.201,80
0014.4F01.0000.7811,2013-09-18 14:57:42.843,75
0014.4F01.0000.35EC,2013-09-18 14:57:45.882,82
0014.4F01.0000.3560,2013-09-18 14:57:47.203,79
0014.4F01.0000.7811,2013-09-18 14:57:45.844,75
0014.4F01.0000.3560,2013-09-18 14:57:50.204,79
0014.4F01.0000.7811,2013-09-18 14:57:48.845,75
0014.4F01.0000.3560,2013-09-18 14:57:53.205,79
0014.4F01.0000.3560,2013-09-18 14:57:56.206,80
0014.4F01.0000.3560,2013-09-18 14:57:59.207,79
0014.4F01.0000.3560,2013-09-18 14:58:02.209,79
0014.4F01.0000.3560,2013-09-18 14:58:05.21,79
0014.4F01.0000.3560,2013-09-18 14:58:08.211,80
0014.4F01.0000.7811,2013-09-18 14:58:07.607,75
0014.4F01.0000.3560,2013-09-18 14:58:11.212,79
0014.4F01.0000.7811,2013-09-18 14:58:10.608,75
0014.4F01.0000.3560,2013-09-18 14:58:14.214,79
0014.4F01.0000.7811,2013-09-18 14:58:13.609,75
0014.4F01.0000.3560,2013-09-18 14:58:17.215,80
0014.4F01.0000.7811,2013-09-18 14:58:16.61,75
0014.4F01.0000.3560,2013-09-18 14:58:20.216,80
0014.4F01.0000.7811,2013-09-18 14:58:19.611,75
0014.4F01.0000.3560,2013-09-18 14:58:23.218,80
0014.4F01.0000.7811,2013-09-18 14:58:22.612,75
0014.4F01.0000.3560,2013-09-18 14:58:26.219,79
0014.4F01.0000.7811,2013-09-18 14:58:25.613,75
0014.4F01.0000.3560,2013-09-18 14:58:29.22,80
0014.4F01.0000.7811,2013-09-18 14:58:28.614,75
0014.4F01.0000.3560,2013-09-18 14:58:32.222,80
0014.4F01.0000.7811,2013-09-18 14:58:31.615,75
0014.4F01.0000.3560,2013-09-18 14:58:35.223,80
0014.4F01.0000.7811,2013-09-18 14:58:34.616,75
0014.4F01.0000.3560,2013-09-18 14:58:38.224,79
0014.4F01.0000.7811,2013-09-18 14:58:37.617,75
0014.4F01.0000.3560,2013-09-18 14:58:41.226,79
0014.4F01.0000.7811,2013-09-18 14:58:40.618,75
0014.4F01.0000.3560,2013-09-18 14:58:44.228,80
0014.4F01.0000.7811,2013-09-18 14:58:43.619,75
0014.4F01.0000.3560,2013-09-18 14:58:47.23,79
0014.4F01.0000.7811,2013-09-18 14:58:46.62,76
