address,time,value
0014.4F01.0000.3560,2013-09-18 21:28:56.615,31
0014.4F01.0000.35EC,2013-09-18 21:28:56.447,21
0014.4F01.0000.7811,2013-09-18 21:28:58.568,19
0014.4F01.0000.3560,2013-09-18 21:28:59.618,31
0014.4F01.0000.35EC,2013-09-18 21:28:59.448,21
0014.4F01.0000.7811,2013-09-18 21:29:01.569,19
0014.4F01.0000.3560,2013-09-18 21:29:02.619,31
0014.4F01.0000.35EC,2013-09-18 21:29:02.449,21
0014.4F01.0000.7811,2013-09-18 21:29:04.57,19
0014.4F01.0000.3560,2013-09-18 21:29:05.62,31
0014.4F01.0000.35EC,2013-09-18 21:29:05.45,21
0014.4F01.0000.7811,2013-09-18 21:29:07.571,19
0014.4F01.0000.3560,2013-09-18 21:29:08.621,31
0014.4F01.0000.35EC,2013-09-18 21:29:08.451,21
0014.4F01.0000.7811,2013-09-18 21:29:10.571,19
0014.4F01.0000.3560,2013-09-18 21:29:11.622,31
0014.4F01.0000.35EC,2013-09-18 21:29:11.452,21
0014.4F01.0000.7811,2013-09-18 21:29:13.572,19
0014.4F01.0000.3560,2013-09-18 21:29:14.623,31
0014.4F01.0000.35EC,2013-09-18 21:29:14.453,21
0014.4F01.0000.7811,2013-09-18 21:29:16.573,19
0014.4F01.0000.3560,2013-09-18 21:29:17.624,31
0014.4F01.0000.35EC,2013-09-18 21:29:17.454,21
0014.4F01.0000.7811,2013-09-18 21:29:19.574,19
0014.4F01.0000.3560,2013-09-18 21:29:20.625,31
0014.4F01.0000.35EC,2013-09-18 21:29:20.455,21
0014.4F01.0000.7811,2013-09-18 21:29:22.575,19
0014.4F01.0000.3560,2013-09-18 21:29:23.626,31
0014.4F01.0000.35EC,2013-09-18 21:29:23.456,21
0014.4F01.0000.7811,2013-09-18 21:29:25.576,19
0014.4F01.0000.3560,2013-09-18 21:29:26.627,31
0014.4F01.0000.35EC,2013-09-18 21:29:26.457,22
0014.4F01.0000.7811,2013-09-18 21:29:28.577,19
0014.4F01.0000.3560,2013-09-18 21:29:29.628,31
0014.4F01.0000.35EC,2013-09-18 21:29:29.458,21
0014.4F01.0000.7811,2013-09-18 21:29:31.578,19
0014.4F01.0000.3560,2013-09-18 21:29:32.629,31
0014.4F01.0000.35EC,2013-09-18 21:29:32.459,21
0014.4F01.0000.7811,2013-09-18 21:29:34.579,19
0014.4F01.0000.3560,2013-09-18 21:29:35.63,31
0014.4F01.0000.35EC,2013-09-18 21:29:35.461,21
0014.4F01.0000.7811,2013-09-18 21:29:37.58,19
0014.4F01.0000.3560,2013-09-18 21:29:38.631,31
0014.4F01.0000.35EC,2013-09-18 21:29:38.462,21
0014.4F01.0000.7811,2013-09-18 21:29:40.581,19
0014.4F01.0000.3560,2013-09-18 21:29:41.632,31
0014.4F01.0000.35EC,2013-09-18 21:29:41.463,21
0014.4F01.0000.7811,2013-09-18 21:29:43.582,19
0014.4F01.0000.3560,2013-09-18 21:29:44.633,31
0014.4F01.0000.35EC,2013-09-18 21:29:44.464,21
0014.4F01.0000.7811,2013-09-18 21:29:46.583,20
0014.4F01.0000.3560,2013-09-18 21:29:47.634,31
0014.4F01.0000.35EC,2013-09-18 21:29:47.465,21
0014.4F01.0000.7811,2013-09-18 21:29:49.584,20
0014.4F01.0000.3560,2013-09-18 21:29:50.635,31
0014.4F01.0000.35EC,2013-09-18 21:29:50.466,21
0014.4F01.0000.7811,2013-09-18 21:29:52.584,20
