time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386476871063E12,27,82,20,60,1000,1500,191
1.386476871331E12,27,78,20,77,1000,1500,191
1.3864768716E12,26,78,21,119,1000,1500,191
1.386476871874E12,26,74,20,127,1000,1500,191
1.38647687214E12,27,76,20,131,1000,1500,191
1.386476872404E12,26,117,21,124,1000,1500,191
1.386476872671E12,26,116,21,124,1000,1500,191
1.386476872936E12,27,119,21,131,1000,1500,191
1.386476873205E12,26,120,22,118,1000,1500,191
1.386476873472E12,27,116,22,122,1000,1500,191
1.386476873738E12,27,116,21,125,1000,1500,191
1.386476874006E12,24,120,21,125,1000,1500,191
1.386476874273E12,25,114,23,125,1000,1500,191
1.386476874546E12,23,79,24,136,1000,1500,191
1.386476874824E12,28,84,36,125,1000,1500,191
1.386476875107E12,24,81,20,129,1000,1500,191
1.386476875379E12,30,83,20,134,1000,1500,191
1.386476875647E12,29,83,20,140,1000,1500,191
1.386476875921E12,31,83,19,136,1000,1500,191
1.386476876188E12,29,89,20,128,1000,1500,191
1.386476876455E12,28,88,19,136,1000,1500,191
1.386476876732E12,25,82,20,141,1000,1500,191
1.38647687701E12,41,90,21,128,1000,1500,191
1.386476877285E12,28,106,15,132,1000,1500,191
1.38647687755E12,31,83,15,134,1000,1500,191
1.386476877818E12,25,75,16,133,1000,1500,191
1.386476878084E12,25,79,16,105,1000,1500,191
1.386476878353E12,23,79,19,89,1000,1500,191
1.386476878629E12,25,83,17,82,1000,1500,191
1.386476878895E12,23,82,16,81,1000,1500,191
1.386476879164E12,24,74,16,77,1000,1500,191
1.386476879432E12,24,71,17,76,1000,1500,191
1.386476879699E12,24,70,17,132,1000,1500,191
1.386476879971E12,24,69,17,130,1000,1500,191
1.386476880236E12,24,95,17,130,1000,1500,191
1.386476880501E12,24,82,18,139,1000,1500,191
1.386476880766E12,25,86,18,135,1000,1500,191
1.386476881032E12,24,86,19,136,1000,1500,191
1.386476881306E12,24,85,20,131,1000,1500,191
1.386476881579E12,24,84,19,135,1000,1500,191
1.386476881846E12,25,86,19,136,1000,1500,191
1.386476882113E12,24,86,20,137,1000,1500,191
1.386476882384E12,24,85,20,129,1000,1500,191
1.386476882657E12,24,83,20,135,1000,1500,191
1.386476882928E12,23,86,20,134,1000,1500,191
1.386476883193E12,24,85,20,139,1000,1500,191
1.38647688346E12,24,81,20,130,1000,1500,191
1.386476883728E12,24,83,20,130,1000,1500,191
1.386476884003E12,24,82,20,130,1000,1500,191
1.386476884276E12,24,83,20,136,1000,1500,191
1.386476884542E12,23,84,20,135,1000,1500,191
1.386476884813E12,24,82,17,130,1000,1500,191
1.386476885081E12,22,82,21,133,1000,1500,191
1.386476885349E12,23,83,21,132,1000,1500,191
1.38647688562E12,23,82,20,134,1000,1500,191
1.386476885891E12,23,85,21,130,1000,1500,191
1.386476886164E12,23,81,21,135,1320,1500,191
1.386476886429E12,23,82,20,139,1320,1500,191
1.386476886702E12,23,82,16,141,1320,1500,191
1.386476886974E12,23,82,15,135,1320,1500,191
1.386476887239E12,23,80,18,136,1320,1500,191
1.386476887504E12,24,80,17,131,1320,1500,191
1.386476887787E12,23,79,16,136,1830,1500,191
1.386476888052E12,24,81,17,134,1830,1500,191
1.386476888317E12,22,83,17,135,1830,1500,191
1.386476888582E12,23,80,17,133,1830,1500,191
1.386476888848E12,23,82,17,138,1830,1500,191
1.386476889117E12,23,83,18,136,1830,1500,191
1.386476889387E12,23,80,18,135,1830,1500,191
1.386476889654E12,23,82,17,132,1830,1500,191
1.386476889922E12,23,81,18,140,1140,1500,191
1.386476890187E12,23,82,18,136,1140,1500,191
1.386476890456E12,23,80,18,134,1140,1500,191
1.386476890721E12,24,79,19,134,1140,1500,191
1.386476890986E12,23,83,18,127,1140,1500,191
1.386476891252E12,23,81,19,133,1140,1500,191
1.386476891526E12,23,81,19,132,1140,1500,191
1.386476891792E12,24,83,19,130,1140,1500,191
1.386476892057E12,23,81,19,136,1140,1500,191
1.386476892323E12,23,84,19,134,1140,1500,191
1.386476892588E12,23,83,19,135,1140,1500,191
1.386476892871E12,23,83,19,140,1470,1500,191
1.386476893135E12,23,83,19,136,1470,1500,191
1.386476893401E12,24,83,19,128,1470,1500,191
1.386476893667E12,24,83,19,135,1470,1500,191
1.386476893934E12,24,82,19,141,1470,1500,191
1.3864768942E12,24,82,19,130,1470,1500,191
1.386476894469E12,24,82,20,140,1550,1500,191
1.386476894735E12,24,80,19,134,1550,1500,191
1.38647689501E12,24,80,19,136,1500,1500,191
1.38647689529E12,24,83,19,137,1500,1500,191
1.386476895555E12,24,76,19,141,1500,1500,191
1.386476895823E12,24,83,19,69,1500,1500,191
1.386476896095E12,24,79,20,137,1840,1500,191
1.386476896364E12,24,75,20,137,1840,1500,191
1.386476896635E12,24,80,20,132,1840,1500,191
1.386476896905E12,24,78,20,136,1840,1500,191
1.386476897174E12,24,80,20,134,1840,1500,191
1.386476897443E12,24,75,19,135,1840,1500,191
1.38647689773E12,24,71,20,135,1190,1500,191
1.386476897995E12,24,80,19,131,1190,1500,191
1.38647689826E12,24,78,18,134,1190,1500,191
1.386476898525E12,24,75,19,134,1190,1500,191
1.386476898791E12,24,74,19,137,1190,1500,191
1.386476899067E12,24,75,19,136,1190,1500,191
1.386476899336E12,24,76,19,136,1190,1500,191
1.386476899603E12,24,74,19,136,1490,1500,191
1.386476899868E12,24,72,19,135,1490,1500,191
1.386476900134E12,25,90,19,130,1490,1500,191
1.3864769004E12,24,70,19,141,1490,1500,191
1.386476900671E12,24,64,18,75,1490,1500,191
1.386476900939E12,25,65,17,81,1490,1500,191
1.386476901208E12,24,73,16,61,1490,1500,191
1.386476901473E12,25,83,15,55,1490,1500,191
1.386476901749E12,24,83,22,53,1490,1500,191
1.386476902015E12,25,31,20,54,1490,1500,191
1.38647690228E12,25,72,18,56,1490,1500,191
1.386476902547E12,25,69,18,58,1490,1500,191
1.386476902832E12,64,64,16,62,1490,1500,191
1.386476903116E12,62,76,27,62,1490,1500,191
1.386476903392E12,50,82,33,60,1490,1500,191
1.386476903668E12,50,85,29,59,1490,1500,191
1.386476903948E12,37,103,32,58,1490,1500,191
1.386476904224E12,32,99,33,59,1490,1500,191
1.386476904504E12,24,88,37,57,1490,1500,191
1.386476904778E12,24,67,41,53,1490,1500,191
1.38647690506E12,25,46,18,59,1490,1500,191
1.386476905337E12,25,59,18,90,1490,1500,191
1.386476905606E12,26,61,18,134,1490,1500,191
1.386476905883E12,25,60,40,140,1490,1500,191
1.386476906163E12,25,59,41,146,1490,1500,191
1.386476906435E12,26,61,40,134,1490,1500,191
1.386476906701E12,25,59,40,137,1490,1500,191
1.386476906974E12,25,65,40,134,1490,1500,191
1.386476907241E12,25,62,38,140,1490,1500,191
1.386476907506E12,25,64,39,137,1490,1500,191
1.386476907776E12,25,66,39,136,1490,1500,191
1.386476908042E12,25,65,41,143,1490,1500,191
1.386476908316E12,25,65,41,136,1490,1500,191
1.386476908586E12,25,64,41,133,1490,1500,191
1.386476908854E12,25,58,38,134,1490,1500,191
1.386476909125E12,25,62,40,135,1490,1500,191
1.386476909398E12,25,65,32,132,1490,1500,191
1.386476909671E12,23,66,38,133,1490,1500,191
1.386476909954E12,42,68,40,141,1490,1500,191
1.386476910231E12,23,63,16,135,1490,1500,191
1.386476910499E12,25,70,16,125,1490,1500,191
1.386476910767E12,23,70,15,118,1490,1500,191
1.38647691104E12,21,68,16,118,1490,1500,191
1.386476911307E12,22,68,16,117,1490,1500,191
1.386476911572E12,21,72,16,72,1490,1500,191
1.386476911838E12,22,76,17,73,1490,1500,191
1.386476912112E12,22,73,16,74,1490,1500,191
1.386476912381E12,21,78,15,75,1490,1500,191
1.386476912649E12,20,76,16,78,1490,1500,191
1.386476912919E12,22,75,16,76,1490,1500,191
1.386476913194E12,21,77,15,77,1490,1500,191
1.386476913465E12,20,78,16,75,1490,1500,191
1.386476913734E12,21,78,20,78,1490,1500,191
1.386476914003E12,21,77,21,75,1490,1500,191
1.386476914546E12,21,80,28,77,1490,1500,191
1.386476914819E12,22,79,33,76,1490,1500,191
1.386476915091E12,21,80,33,76,1490,1500,191
1.386476915369E12,21,80,33,75,1490,1500,191
1.386476915637E12,21,79,35,75,1490,1500,191
1.386476915909E12,21,80,40,75,1490,1500,191
1.386476916181E12,21,79,39,75,1490,1500,191
1.386476916452E12,22,79,39,75,1490,1500,191
1.386476916726E12,22,76,40,76,1490,1500,191
1.386476916998E12,22,72,41,74,1490,1500,191
1.386476917267E12,22,70,41,74,1490,1500,191
1.386476917537E12,23,71,41,75,1490,1500,191
1.386476917805E12,22,68,41,75,1490,1500,191
1.386476918074E12,22,69,41,75,1490,1500,191
1.386476918347E12,22,71,42,75,1490,1500,191
1.386476918617E12,22,75,40,75,1490,1500,191
1.386476918888E12,22,75,40,75,1490,1500,191
1.386476919156E12,22,75,39,75,1490,1500,191
1.386476919425E12,22,80,40,75,1490,1500,191
1.386476919693E12,22,75,40,74,1490,1500,191
1.386476919965E12,22,72,39,73,1490,1500,191
1.386476920234E12,21,75,40,75,1490,1500,191
1.386476920503E12,23,68,39,73,1490,1500,191
1.38647692077E12,23,62,41,73,1490,1500,191
1.386476921039E12,22,69,41,72,1490,1500,191
1.386476921315E12,22,68,38,72,1490,1500,191
1.386476921592E12,22,85,30,78,1490,1500,191
1.386476921862E12,22,84,29,77,1490,1500,191
1.386476922145E12,21,72,33,73,1490,1500,191
1.386476922426E12,23,62,18,143,1490,1500,191
1.386476922697E12,23,66,22,145,1490,1500,191
1.386476922964E12,20,75,21,134,1490,1500,191
1.386476923233E12,20,78,22,140,1490,1500,191
1.386476923511E12,20,67,23,138,1490,1500,191
1.386476923777E12,19,72,22,137,1490,1500,191
1.386476924043E12,19,75,22,140,1490,1500,191
1.386476924308E12,19,71,21,141,1490,1500,191
1.386476924574E12,20,65,21,149,1490,1500,191
1.386476924841E12,20,66,21,146,1490,1500,191
1.386476925107E12,20,70,21,143,1490,1500,191
1.386476925375E12,20,67,21,144,1490,1500,191
1.38647692564E12,20,69,21,142,1490,1500,191
1.386476925909E12,21,71,21,142,1490,1500,191
1.386476926179E12,21,72,20,146,1490,1500,191
1.386476926446E12,21,74,19,145,1490,1500,191
1.386476926715E12,21,73,19,146,1490,1500,191
1.386476926981E12,21,74,19,148,1490,1500,191
1.38647692725E12,22,79,19,132,1490,1500,191
1.386476927526E12,22,77,19,141,1490,1500,191
1.386476927795E12,21,77,19,143,1490,1500,191
1.38647692806E12,21,74,18,146,1490,1500,191
1.386476928327E12,21,76,20,143,1490,1500,191
1.386476928594E12,21,76,20,145,1490,1500,191
1.386476928859E12,21,76,19,149,1490,1500,191
1.386476929124E12,21,79,19,138,1490,1500,191
1.386476929395E12,21,75,19,145,1490,1500,191
1.386476929664E12,21,76,19,146,1490,1500,191
1.386476929929E12,22,78,19,141,1490,1500,191
1.386476930195E12,21,79,19,141,1490,1500,191
1.38647693046E12,22,77,19,141,1490,1500,191
1.386476930731E12,22,77,19,146,1490,1500,191
1.386476931E12,22,77,19,143,1490,1500,191
1.386476931265E12,22,70,20,148,1490,1500,191
1.386476931531E12,22,67,20,134,1490,1500,191
1.386476931805E12,22,66,20,146,1490,1500,191
1.386476932075E12,22,64,19,139,1490,1500,191
1.38647693234E12,22,63,19,145,1490,1500,191
1.386476932605E12,21,64,19,141,1490,1500,191
1.386476932874E12,22,71,19,140,1490,1500,191
1.386476933139E12,21,71,19,151,1490,1500,191
1.386476933404E12,22,72,19,142,1490,1500,191
1.386476933669E12,22,71,19,143,1490,1500,191
1.386476933937E12,21,72,20,145,1490,1500,191
1.386476934204E12,21,68,20,146,1490,1500,191
1.386476934469E12,22,68,19,138,1490,1500,191
1.386476934735E12,21,68,20,135,1490,1500,191
1.386476935E12,21,67,19,135,1490,1500,191
1.386476935269E12,21,73,20,151,1490,1500,191
1.386476935535E12,21,72,20,139,1490,1500,191
1.38647693581E12,22,74,19,135,1490,1500,191
1.386476936076E12,22,77,20,138,1490,1500,191
1.386476936347E12,22,73,21,138,1490,1500,191
1.386476936617E12,23,71,18,134,1490,1500,191
1.386476936886E12,22,72,21,138,1490,1500,191
1.386476937165E12,23,78,37,140,1490,1500,191
1.386476937436E12,23,75,33,145,1490,1500,191
1.386476937702E12,22,74,36,136,1490,1500,191
1.386476937971E12,22,73,36,137,1490,1500,191
1.386476938241E12,22,76,30,140,1490,1500,191
1.38647693852E12,22,76,19,141,1490,1500,191
1.386476938787E12,22,61,20,138,1490,1500,191
1.386476939058E12,22,62,18,136,1490,1500,191
1.386476939323E12,22,67,18,133,1490,1500,191
1.386476939589E12,22,66,18,160,1490,1500,191
1.386476939855E12,22,71,18,143,1490,1500,191
1.386476940123E12,21,67,18,138,1490,1500,191
1.386476940388E12,22,62,18,142,1490,1500,191
1.386476940657E12,22,60,18,142,1490,1500,191
1.386476940922E12,22,62,19,143,1490,1500,191
1.386476941191E12,22,62,18,142,1490,1500,191
1.386476941456E12,22,61,19,141,1490,1500,191
1.386476941723E12,22,61,18,150,1490,1500,191
1.386476941988E12,21,62,19,145,1490,1500,191
1.386476942252E12,22,61,19,151,1490,1500,191
1.386476942522E12,22,63,19,141,1490,1500,191
1.386476942788E12,22,62,19,141,1490,1500,191
1.386476943053E12,22,62,18,151,1490,1500,191
1.386476943318E12,22,62,19,138,1490,1500,191
1.386476943586E12,22,65,19,144,1490,1500,191
1.386476943863E12,22,64,19,144,1490,1500,191
1.386476944128E12,22,72,18,153,1490,1500,191
1.386476944398E12,22,67,19,145,1490,1500,191
1.386476944664E12,22,62,19,143,1490,1500,191
1.38647694493E12,22,60,19,140,1490,1500,191
1.386476945195E12,22,60,19,146,1490,1500,191
