time,LF,RF,LR,RR,LT,RT,distRight,distLeft,thetaRight,thetaLeft,theta,distance,turn,velocity,targetDist,startTurn,stopTurn,targetTheta
330.0,90.229355,92.50405,91.979126,90.75428,1.0,1.0,96.26146,-95.73854,-0.08726647,-0.08726647,-0.08726647,-95.73854,1000.0,1375.0,960.0,0.0,0.0,-0.61086524
383.0,90.089645,92.50574,91.66594,90.92946,1.0,1.0,96.4186,-95.5814,-0.078651145,-0.078651145,-0.078651145,-95.5814,1574.0432,1375.0,960.0,0.0,0.0,0.0031943659
450.0,89.97109,92.509415,91.38693,91.093575,1.0,1.0,96.55984,-95.44016,-0.070673496,-0.070673496,-0.070673496,-95.44016,1568.5629,1375.0,960.0,0.0,0.0,0.0051142066
514.0,89.87112,92.514084,91.13865,91.24655,1.0,1.0,96.68634,-95.31366,-0.06329128,-0.06329128,-0.06329128,-95.31366,1563.4454,1375.0,960.0,0.0,0.0,0.006839722
581.0,89.7875,92.51898,90.918015,91.388466,1.0,1.0,96.79921,-95.20079,-0.05646495,-0.05646495,-0.05646495,-95.20079,1558.668,1375.0,960.0,0.0,0.0,0.008385229
649.0,89.71828,92.52348,90.722275,91.519485,1.0,1.0,96.899475,-95.100525,-0.05015742,-0.05015742,-0.05015742,-95.100525,1554.2092,1375.0,960.0,0.0,0.0,0.00976415
714.0,89.66171,92.52713,90.548965,91.63988,1.0,1.0,96.98811,-95.01189,-0.04433393,-0.04433393,-0.04433393,-95.01189,1550.0492,1375.0,960.0,0.0,0.0,0.010989161
780.0,89.616264,92.52956,90.39591,91.749916,1.0,1.0,97.06602,-94.93398,-0.03896193,-0.03896193,-0.03896193,-94.93398,1546.169,1375.0,960.0,0.0,0.0,0.012072045
847.0,89.58064,92.53047,90.261116,91.84999,1.0,1.0,97.13402,-94.86598,-0.034010906,-0.034010906,-0.034010906,-94.86598,1542.5509,1375.0,960.0,0.0,0.0,0.013023838
914.0,89.553604,92.5297,90.14282,91.940475,1.0,1.0,97.19292,-94.80708,-0.029452283,-0.029452283,-0.029452283,-94.80708,1539.1785,1375.0,960.0,0.0,0.0,0.013854681
981.0,89.534164,92.52711,90.039444,92.02182,1.0,1.0,97.24343,-94.75657,-0.025259275,-0.025259275,-0.025259275,-94.75657,1536.0363,1375.0,960.0,0.0,0.0,0.014574266
