time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386567891552E12,67,149,67,145,1470,1500,191
1.386567891844E12,67,148,68,133,1410,1500,191
1.386567892123E12,67,147,66,136,1490,1500,191
1.386567892412E12,67,143,68,136,1420,1500,191
1.386567892704E12,67,148,67,134,1440,1500,191
1.386567892988E12,66,148,68,134,1390,1500,191
1.386567893328E12,68,146,68,141,1460,1500,191
1.386567893615E12,67,148,68,140,1420,1500,191
1.386567893899E12,67,150,68,139,1410,1500,191
1.386567894186E12,67,153,68,138,1410,1500,191
1.386567894475E12,67,144,68,142,1400,1500,191
1.386567894809E12,67,149,68,132,1420,1500,191
1.386567895093E12,67,144,66,140,1480,1500,191
1.386567895424E12,67,145,68,134,1450,1500,191
1.386567895715E12,67,150,68,141,1440,1500,191
1.386567896007E12,67,149,67,136,1470,1500,191
1.386567896353E12,67,148,69,140,1420,1500,191
1.386567896643E12,67,143,68,146,1440,1500,191
1.386567896989E12,67,148,68,136,1430,1500,191
1.386567897273E12,67,146,68,140,1410,1500,191
1.386567897557E12,67,153,69,131,1390,1500,191
1.386567897844E12,67,145,68,138,1430,1500,191
1.386567898126E12,67,148,68,136,1440,1500,191
1.386567898463E12,67,149,66,137,1510,1500,191
1.386567898804E12,66,145,66,138,1450,1500,191
1.386567899145E12,67,141,68,134,1420,1500,191
1.386567899429E12,67,145,68,140,1410,1500,191
1.386567899762E12,67,149,67,134,1440,1500,191
1.386567900052E12,67,146,67,138,1450,1500,191
1.386567900343E12,67,149,67,141,1440,1500,191
1.386567900637E12,67,145,66,138,1490,1500,191
1.386567900975E12,65,140,68,137,1370,1500,191
1.386567901308E12,67,147,67,140,1470,1500,191
1.386567901605E12,66,144,68,134,1400,1500,191
1.386567901941E12,67,148,68,141,1420,1500,191
1.386567902282E12,67,136,67,136,2000,1500,191
1.386567902589E12,67,128,68,141,2000,1500,191
1.386567902877E12,67,130,68,136,2000,1500,191
1.386567903197E12,67,133,68,144,2000,1500,191
1.386567903523E12,67,119,68,140,2000,1500,191
1.386567903819E12,67,125,68,134,2000,1500,191
1.386567904228E12,66,124,66,136,1500,1500,191
1.386567904565E12,66,141,66,138,1500,1500,191
1.386567904845E12,68,143,69,137,1500,1500,191
1.386567905141E12,67,138,66,138,1500,1500,191
1.38656790546E12,67,143,68,134,2000,1500,191
1.386567905791E12,67,132,68,136,2000,1500,191
1.386567906136E12,67,129,67,141,2000,1500,191
1.386567906441E12,66,129,69,140,1500,1500,191
1.386567906853E12,67,145,68,132,1500,1500,191
1.386567907188E12,66,141,68,136,1750,1500,191
1.386567907574E12,67,146,68,141,1250,1500,191
1.386567907862E12,67,149,68,141,1250,1500,191
1.38656790815E12,67,144,66,137,1250,1500,191
1.386567908444E12,67,145,68,136,1250,1500,191
1.386567908747E12,66,149,68,146,1500,1500,191
1.386567909038E12,67,145,68,135,1500,1500,191
1.386567909328E12,67,138,68,144,1500,1500,191
1.386567909665E12,67,146,67,140,1500,1500,191
1.386567909949E12,67,140,68,133,1500,1500,191
1.386567910241E12,68,140,68,138,1500,1500,191
1.386567910526E12,67,139,68,140,1500,1500,191
1.386567910814E12,67,144,68,141,1500,1500,191
1.386567911382E12,67,140,68,140,1500,1500,191
1.386567911665E12,67,140,66,132,1500,1500,191
1.386567911952E12,67,143,68,143,1500,1500,191
1.386567912236E12,67,143,68,134,1500,1500,191
1.386567912521E12,67,144,67,138,1500,1500,191
1.386567912809E12,66,142,68,139,1500,1500,191
1.386567913095E12,67,148,68,135,1500,1500,191
1.386567913378E12,67,141,67,138,1500,1500,191
1.386567913668E12,67,136,66,134,1500,1500,191
1.386567914017E12,67,142,68,140,1500,1500,191
1.386567914305E12,67,143,68,140,1500,1500,191
