time,LF,RF,LR,RR,setTurn,setSpeed,booleans,,,
1.39E+12,93,41,215,42,1480,1400,191,,,
1.39E+12,194,41,224,42,1480,1400,191,,2.65E+02,
1.39E+12,255,41,221,42,1480,1400,191,,2.71E+02,
1.39E+12,154,41,222,42,1480,1400,191,,2.65E+02,
1.39E+12,95,41,213,42,1480,1400,191,,2.67E+02,
1.39E+12,255,41,215,42,1480,1400,191,,2.68E+02,
1.39E+12,128,41,149,42,1480,1400,191,,2.70E+02,
1.39E+12,114,41,202,42,1480,1400,191,,2.67E+02,
1.39E+12,130,41,194,42,1480,1400,191,,2.67E+02,
1.39E+12,125,41,228,42,1480,1400,191,,2.68E+02,
1.39E+12,138,41,146,42,1480,1400,191,,2.75E+02,
1.39E+12,128,41,142,42,1480,1400,191,,2.66E+02,
1.39E+12,125,41,142,42,1480,1400,191,,2.73E+02,2.96E+03
1.39E+12,130,41,141,42,1000,1400,191,,2.66E+02,
1.39E+12,133,40,139,42,1000,1400,191,,2.67E+02,
1.39E+12,130,38,143,41,1000,1400,191,,2.83E+02,
1.39E+12,112,36,141,41,1000,1400,191,,2.69E+02,
1.39E+12,133,48,144,40,1000,1400,191,,2.73E+02,
1.39E+12,120,82,148,39,1000,1400,191,,2.71E+02,
1.39E+12,118,95,144,38,1000,1400,191,,2.76E+02,
1.39E+12,96,132,146,37,1000,1400,191,,2.73E+02,
1.39E+12,111,113,152,36,1000,1400,191,,2.76E+02,
1.39E+12,187,118,153,34,1000,1400,191,,2.67E+02,
1.39E+12,237,124,152,34,1000,1400,191,,2.72E+02,
1.39E+12,255,133,154,30,1000,1400,191,,2.73E+02,
1.39E+12,138,192,152,26,1000,1400,191,,2.66E+02,
1.39E+12,255,148,162,38,1000,1400,191,,2.66E+02,
1.39E+12,255,139,159,49,1000,1400,191,,2.65E+02,
1.39E+12,255,128,170,60,1000,1400,191,,2.66E+02,
1.39E+12,255,133,168,68,1000,1400,191,,2.65E+02,
1.39E+12,255,137,173,77,1000,1400,191,,2.66E+02,
1.39E+12,255,138,174,82,1000,1400,191,,2.68E+02,
1.39E+12,255,139,169,85,1000,1400,191,,2.73E+02,
