time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1390000000000,93,41,215,42,1480,1400,191
1390000000000,194,41,224,42,1480,1400,191
1390000000000,255,41,221,42,1480,1400,191
1390000000000,154,41,222,42,1480,1400,191
1390000000000,95,41,213,42,1480,1400,191
1390000000000,255,41,215,42,1480,1400,191
1390000000000,128,41,149,42,1480,1400,191
1390000000000,114,41,202,42,1480,1400,191
1390000000000,130,41,194,42,1480,1400,191
1390000000000,125,41,228,42,1480,1400,191
1390000000000,138,41,146,42,1480,1400,191
1390000000000,128,41,142,42,1480,1400,191
1390000000000,125,41,142,42,1480,1400,191
1390000000000,130,41,141,42,1000,1400,191
1390000000000,133,40,139,42,1000,1400,191
1390000000000,130,38,143,41,1000,1400,191
1390000000000,112,36,141,41,1000,1400,191
1390000000000,133,48,144,40,1000,1400,191
1390000000000,120,82,148,39,1000,1400,191
1390000000000,118,95,144,38,1000,1400,191
1390000000000,96,132,146,37,1000,1400,191
1390000000000,111,113,152,36,1000,1400,191
1390000000000,187,118,153,34,1000,1400,191
1390000000000,237,124,152,34,1000,1400,191
1390000000000,255,133,154,30,1000,1400,191
1390000000000,138,192,152,26,1000,1400,191
1390000000000,255,148,162,38,1000,1400,191
1390000000000,255,139,159,49,1000,1400,191
1390000000000,255,128,170,60,1000,1400,191
1390000000000,255,133,168,68,1000,1400,191
1390000000000,255,137,173,77,1000,1400,191
1390000000000,255,138,174,82,1000,1400,191
1390000000000,255,139,169,85,1000,1400,191
1390000000000,255,125,176,88,1000,1400,191
1390000000000,255,137,175,91,1000,1400,191
1390000000000,255,133,184,95,1000,1400,191
1390000000000,255,129,173,98,1000,1400,191
1390000000000,255,128,200,108,1000,1400,191
1390000000000,255,132,172,102,1000,1400,191
1390000000000,255,129,163,107,1000,1400,191
1390000000000,255,141,255,104,1000,1400,191
1390000000000,255,124,37,104,1000,1400,191
1390000000000,255,130,255,107,1000,1400,191
1390000000000,255,141,95,107,1000,1400,191
1390000000000,80,125,194,113,1000,1400,191
1390000000000,111,132,255,109,1000,1400,191
1390000000000,141,128,71,113,1000,1400,191
1390000000000,255,124,95,112,1000,1400,191
1390000000000,255,121,80,112,1000,1400,191
1390000000000,59,119,68,113,1000,1400,191
1390000000000,128,120,58,115,1000,1400,191
1390000000000,96,122,74,114,1000,1400,191
1390000000000,65,118,198,118,1000,1400,191
1390000000000,255,113,199,112,1000,1400,191
1390000000000,255,114,201,110,1000,1400,191
1390000000000,86,117,179,115,1000,1400,191
1390000000000,61,114,194,110,1000,1400,191
1390000000000,255,113,174,114,1000,1400,191
1390000000000,255,109,184,110,1000,1400,191
1390000000000,255,105,180,110,1000,1400,191
1390000000000,237,106,179,106,1000,1400,191
1390000000000,255,103,170,109,1000,1400,191
1390000000000,143,104,174,112,1000,1400,191
1390000000000,59,104,181,108,1000,1400,191
1390000000000,96,93,181,105,1000,1400,191
1390000000000,97,100,57,103,1000,1400,191
1390000000000,93,41,215,42,1480,1400,191
1390000000000,194,41,224,42,1480,1400,191
1390000000000,255,41,221,42,1480,1400,191
1390000000000,154,41,222,42,1480,1400,191
1390000000000,95,41,213,42,1480,1400,191
1390000000000,255,41,215,42,1480,1400,191
1390000000000,128,41,149,42,1480,1400,191
1390000000000,114,41,202,42,1480,1400,191
1390000000000,130,41,194,42,1480,1400,191
1390000000000,125,41,228,42,1480,1400,191
1390000000000,138,41,146,42,1480,1400,191
1390000000000,128,41,142,42,1480,1400,191
1390000000000,125,41,142,42,1480,1400,191
1390000000000,130,41,141,42,1000,1400,191
1390000000000,133,40,139,42,1000,1400,191
1390000000000,130,38,143,41,1000,1400,191
1390000000000,112,36,141,41,1000,1400,191
1390000000000,133,48,144,40,1000,1400,191
1390000000000,120,82,148,39,1000,1400,191
1390000000000,118,95,144,38,1000,1400,191
1390000000000,96,132,146,37,1000,1400,191
1390000000000,111,113,152,36,1000,1400,191
1390000000000,187,118,153,34,1000,1400,191
1390000000000,237,124,152,34,1000,1400,191
1390000000000,255,133,154,30,1000,1400,191
1390000000000,138,192,152,26,1000,1400,191
1390000000000,255,148,162,38,1000,1400,191
1390000000000,255,139,159,49,1000,1400,191
1390000000000,255,128,170,60,1000,1400,191
1390000000000,255,133,168,68,1000,1400,191
1390000000000,255,137,173,77,1000,1400,191
1390000000000,255,138,174,82,1000,1400,191
1390000000000,255,139,169,85,1000,1400,191
1390000000000,255,125,176,88,1000,1400,191
1390000000000,255,137,175,91,1000,1400,191
1390000000000,255,133,184,95,1000,1400,191
1390000000000,255,129,173,98,1000,1400,191
1390000000000,255,128,200,108,1000,1400,191
1390000000000,255,132,172,102,1000,1400,191
1390000000000,255,129,163,107,1000,1400,191
1390000000000,255,141,255,104,1000,1400,191
1390000000000,255,124,37,104,1000,1400,191
1390000000000,255,130,255,107,1000,1400,191
1390000000000,255,141,95,107,1000,1400,191
1390000000000,80,125,194,113,1000,1400,191
1390000000000,111,132,255,109,1000,1400,191
1390000000000,141,128,71,113,1000,1400,191
1390000000000,255,124,95,112,1000,1400,191
1390000000000,255,121,80,112,1000,1400,191
1390000000000,59,119,68,113,1000,1400,191
1390000000000,128,120,58,115,1000,1400,191
1390000000000,96,122,74,114,1000,1400,191
1390000000000,65,118,198,118,1000,1400,191
1390000000000,255,113,199,112,1000,1400,191
1390000000000,255,114,201,110,1000,1400,191
1390000000000,86,117,179,115,1000,1400,191
1390000000000,61,114,194,110,1000,1400,191
1390000000000,255,113,174,114,1000,1400,191
1390000000000,255,109,184,110,1000,1400,191
1390000000000,255,105,180,110,1000,1400,191
1390000000000,237,106,179,106,1000,1400,191
1390000000000,255,103,170,109,1000,1400,191
1390000000000,143,104,174,112,1000,1400,191
1390000000000,59,104,181,108,1000,1400,191
1390000000000,96,93,181,105,1000,1400,191
1390000000000,97,100,57,103,1000,1400,191
1390000000000,93,41,215,42,1480,1400,191
1390000000000,194,41,224,42,1480,1400,191
1390000000000,255,41,221,42,1480,1400,191
1390000000000,154,41,222,42,1480,1400,191
1390000000000,95,41,213,42,1480,1400,191
1390000000000,255,41,215,42,1480,1400,191
1390000000000,128,41,149,42,1480,1400,191
1390000000000,114,41,202,42,1480,1400,191
1390000000000,130,41,194,42,1480,1400,191
1390000000000,125,41,228,42,1480,1400,191
1390000000000,138,41,146,42,1480,1400,191
1390000000000,128,41,142,42,1480,1400,191
1390000000000,125,41,142,42,1480,1400,191
1390000000000,130,41,141,42,1000,1400,191
1390000000000,133,40,139,42,1000,1400,191
1390000000000,130,38,143,41,1000,1400,191
1390000000000,112,36,141,41,1000,1400,191
1390000000000,133,48,144,40,1000,1400,191
1390000000000,120,82,148,39,1000,1400,191
1390000000000,118,95,144,38,1000,1400,191
1390000000000,96,132,146,37,1000,1400,191
1390000000000,111,113,152,36,1000,1400,191
1390000000000,187,118,153,34,1000,1400,191
1390000000000,237,124,152,34,1000,1400,191
1390000000000,255,133,154,30,1000,1400,191
1390000000000,138,192,152,26,1000,1400,191
1390000000000,255,148,162,38,1000,1400,191
1390000000000,255,139,159,49,1000,1400,191
1390000000000,255,128,170,60,1000,1400,191
1390000000000,255,133,168,68,1000,1400,191
1390000000000,255,137,173,77,1000,1400,191
1390000000000,255,138,174,82,1000,1400,191
1390000000000,255,139,169,85,1000,1400,191
1390000000000,255,125,176,88,1000,1400,191
1390000000000,255,137,175,91,1000,1400,191
1390000000000,255,133,184,95,1000,1400,191
1390000000000,255,129,173,98,1000,1400,191
1390000000000,255,128,200,108,1000,1400,191
1390000000000,255,132,172,102,1000,1400,191
1390000000000,255,129,163,107,1000,1400,191
1390000000000,255,141,255,104,1000,1400,191
1390000000000,255,124,37,104,1000,1400,191
1390000000000,255,130,255,107,1000,1400,191
1390000000000,255,141,95,107,1000,1400,191
1390000000000,80,125,194,113,1000,1400,191
1390000000000,111,132,255,109,1000,1400,191
1390000000000,141,128,71,113,1000,1400,191
1390000000000,255,124,95,112,1000,1400,191
1390000000000,255,121,80,112,1000,1400,191
1390000000000,59,119,68,113,1000,1400,191
1390000000000,128,120,58,115,1000,1400,191
1390000000000,96,122,74,114,1000,1400,191
1390000000000,65,118,198,118,1000,1400,191
1390000000000,255,113,199,112,1000,1400,191
1390000000000,255,114,201,110,1000,1400,191
1390000000000,86,117,179,115,1000,1400,191
1390000000000,61,114,194,110,1000,1400,191
1390000000000,255,113,174,114,1000,1400,191
1390000000000,255,109,184,110,1000,1400,191
1390000000000,255,105,180,110,1000,1400,191
1390000000000,237,106,179,106,1000,1400,191
1390000000000,255,103,170,109,1000,1400,191
1390000000000,143,104,174,112,1000,1400,191
1390000000000,59,104,181,108,1000,1400,191
1390000000000,96,93,181,105,1000,1400,191
1390000000000,97,100,57,103,1000,1400,191
1390000000000,93,41,215,42,1480,1400,191
1390000000000,194,41,224,42,1480,1400,191
1390000000000,255,41,221,42,1480,1400,191
1390000000000,154,41,222,42,1480,1400,191
1390000000000,95,41,213,42,1480,1400,191
1390000000000,255,41,215,42,1480,1400,191
1390000000000,128,41,149,42,1480,1400,191
1390000000000,114,41,202,42,1480,1400,191
1390000000000,130,41,194,42,1480,1400,191
1390000000000,125,41,228,42,1480,1400,191
1390000000000,138,41,146,42,1480,1400,191
1390000000000,128,41,142,42,1480,1400,191
1390000000000,125,41,142,42,1480,1400,191
1390000000000,130,41,141,42,1000,1400,191
1390000000000,133,40,139,42,1000,1400,191
1390000000000,130,38,143,41,1000,1400,191
1390000000000,112,36,141,41,1000,1400,191
1390000000000,133,48,144,40,1000,1400,191
1390000000000,120,82,148,39,1000,1400,191
1390000000000,118,95,144,38,1000,1400,191
1390000000000,96,132,146,37,1000,1400,191
1390000000000,111,113,152,36,1000,1400,191
1390000000000,187,118,153,34,1000,1400,191
1390000000000,237,124,152,34,1000,1400,191
1390000000000,255,133,154,30,1000,1400,191
1390000000000,138,192,152,26,1000,1400,191
1390000000000,255,148,162,38,1000,1400,191
1390000000000,255,139,159,49,1000,1400,191
1390000000000,255,128,170,60,1000,1400,191
1390000000000,255,133,168,68,1000,1400,191
1390000000000,255,137,173,77,1000,1400,191
1390000000000,255,138,174,82,1000,1400,191
1390000000000,255,139,169,85,1000,1400,191
1390000000000,255,125,176,88,1000,1400,191
1390000000000,255,137,175,91,1000,1400,191
1390000000000,255,133,184,95,1000,1400,191
1390000000000,255,129,173,98,1000,1400,191
1390000000000,255,128,200,108,1000,1400,191
1390000000000,255,132,172,102,1000,1400,191
1390000000000,255,129,163,107,1000,1400,191
1390000000000,255,141,255,104,1000,1400,191
1390000000000,255,124,37,104,1000,1400,191
1390000000000,255,130,255,107,1000,1400,191
1390000000000,255,141,95,107,1000,1400,191
1390000000000,80,125,194,113,1000,1400,191
1390000000000,111,132,255,109,1000,1400,191
1390000000000,141,128,71,113,1000,1400,191
1390000000000,255,124,95,112,1000,1400,191
1390000000000,255,121,80,112,1000,1400,191
1390000000000,59,119,68,113,1000,1400,191
1390000000000,128,120,58,115,1000,1400,191
1390000000000,96,122,74,114,1000,1400,191
1390000000000,65,118,198,118,1000,1400,191
1390000000000,255,113,199,112,1000,1400,191
1390000000000,255,114,201,110,1000,1400,191
1390000000000,86,117,179,115,1000,1400,191
1390000000000,61,114,194,110,1000,1400,191
1390000000000,255,113,174,114,1000,1400,191
1390000000000,255,109,184,110,1000,1400,191
1390000000000,255,105,180,110,1000,1400,191
1390000000000,237,106,179,106,1000,1400,191
1390000000000,255,103,170,109,1000,1400,191
1390000000000,143,104,174,112,1000,1400,191
1390000000000,59,104,181,108,1000,1400,191
1390000000000,96,93,181,105,1000,1400,191
1390000000000,97,100,57,103,1000,1400,191
