time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.38654175899E12,255,83,220,92,1500,1300,191
1.386541759262E12,255,83,234,92,1500,1300,191
1.386541759544E12,255,83,214,87,1500,1300,191
1.386541759815E12,255,81,237,88,1500,1300,191
1.38654176008E12,255,84,247,90,1500,1300,191
1.386541760349E12,255,83,255,90,1500,1300,191
1.386541760614E12,255,84,243,88,1500,1300,191
1.386541760889E12,100,175,255,89,1500,1300,191
1.38654176117E12,107,186,104,178,1500,1300,191
1.386541761457E12,106,182,104,185,1500,1300,191
1.38654176173E12,107,184,105,167,1500,1300,191
1.386541762008E12,103,158,105,255,1500,1300,191
1.386541762274E12,102,176,106,224,1500,1300,191
1.386541762548E12,107,182,106,107,1500,1300,191
1.386541762835E12,101,182,105,186,1500,1300,191
1.386541763105E12,103,222,105,202,1500,1300,191
1.386541763377E12,101,82,105,182,1500,1300,191
1.386541763654E12,102,86,105,62,1500,1300,191
1.386541763926E12,102,86,105,91,1500,1300,191
1.3865417642E12,100,85,101,92,1500,1300,191
1.386541764475E12,97,85,105,92,1500,1300,191
1.386541764754E12,106,86,99,90,1500,1300,191
1.386541765038E12,102,85,108,95,1500,1300,191
1.386541765312E12,96,88,105,96,1500,1300,191
1.386541765585E12,99,88,104,92,1500,1300,191
1.386541765866E12,102,80,103,94,1500,1300,191
1.386541766147E12,96,94,105,90,1500,1300,191
1.386541766441E12,89,81,105,91,1500,1300,191
1.386541766716E12,96,86,108,95,1500,1300,191
1.386541766996E12,96,88,95,91,1500,1300,191
1.386541767275E12,93,89,95,90,1500,1300,191
1.38654176755E12,91,94,96,97,1500,1300,191
1.38654176782E12,91,91,94,101,1500,1300,191
1.386541768094E12,88,103,92,94,1500,1300,191
1.386541768367E12,86,96,90,97,1500,1300,191
1.386541768643E12,88,103,90,102,1500,1300,191
1.386541768919E12,86,106,87,106,1500,1300,191
1.386541769191E12,83,104,86,108,1500,1300,191
1.386541769737E12,82,107,83,115,1250,1300,191
1.386541770019E12,79,107,85,114,1250,1300,191
1.386541770303E12,82,102,81,118,1250,1300,191
1.386541770587E12,93,100,77,110,1500,1300,191
1.386541770866E12,93,93,79,108,1750,1300,191
1.386541771151E12,93,94,92,101,1750,1300,191
1.386541771426E12,90,96,92,103,1500,1300,191
1.386541771696E12,92,168,92,110,1500,1300,191
1.386541771975E12,88,171,93,203,1500,1300,191
1.386541772248E12,86,193,89,195,1500,1300,191
1.38654177252E12,85,174,88,255,1500,1300,191
1.386541772789E12,85,146,86,255,1500,1300,191
1.386541773063E12,86,229,86,75,1500,1300,191
1.386541773344E12,83,203,84,161,1500,1300,191
1.386541773609E12,83,148,85,243,1500,1300,191
1.386541773881E12,81,106,82,198,1500,1300,191
1.386541774147E12,81,110,82,93,1500,1300,191
1.386541774417E12,79,108,82,118,1500,1300,191
1.386541774688E12,79,110,80,116,1500,1300,191
1.386541774959E12,79,114,80,118,1500,1300,191
1.386541775233E12,77,112,78,121,1500,1300,191
1.386541775527E12,73,110,78,127,1250,1300,191
1.386541775805E12,75,116,76,122,1250,1300,191
1.386541776079E12,78,106,78,118,1250,1300,191
1.386541776352E12,83,103,82,113,1250,1300,191
1.386541776627E12,91,95,87,107,1750,1300,191
1.386541776905E12,102,86,90,102,1750,1300,191
1.386541777178E12,102,84,97,97,2000,1300,191
1.386541777447E12,99,85,97,97,2000,1300,191
1.386541777728E12,95,92,98,102,1750,1300,191
1.386541777995E12,90,103,95,109,1750,1300,191
1.386541778266E12,83,121,92,121,1750,1300,191
1.386541778541E12,73,121,85,125,2000,1300,191
1.386541778813E12,64,132,77,142,2000,1300,191
1.386541779096E12,42,121,70,165,2000,1300,191
1.386541779372E12,60,255,61,255,2000,1300,191
1.38654177965E12,79,255,48,255,2000,1300,191
1.386541779913E12,91,255,59,255,2000,1300,191
1.386541780177E12,99,255,72,255,2000,1300,191
1.386541780444E12,106,255,81,255,2000,1300,191
1.386541780716E12,105,71,90,255,2000,1300,191
1.386541780994E12,105,88,95,104,2000,1300,191
1.386541781264E12,106,84,98,99,2000,1300,191
1.386541781559E12,102,82,98,95,1750,1300,191
1.386541781829E12,103,83,102,91,1750,1300,191
1.386541782095E12,103,85,101,96,1750,1300,191
1.386541782374E12,96,91,101,97,1500,1300,191
1.386541782656E12,97,91,99,95,1500,1300,191
1.386541782926E12,96,93,98,102,1500,1300,191
1.386541783198E12,94,141,95,104,1500,1300,191
1.38654178347E12,84,145,95,109,1500,1300,191
1.386541784006E12,255,150,224,148,1500,1300,191
1.386541784276E12,255,148,198,151,1500,1300,191
1.386541784545E12,255,146,200,166,1500,1300,191
1.386541784809E12,222,153,222,179,1500,1300,191
1.38654178508E12,255,129,221,146,1500,1300,191
1.386541785349E12,255,112,208,150,1500,1300,191
1.38654178563E12,83,113,199,122,1500,1300,191
1.386541785903E12,73,116,100,122,1500,1300,191
1.386541786197E12,72,116,75,124,1250,1300,191
1.386541786472E12,69,121,71,128,1500,1300,191
1.386541786741E12,67,119,72,130,1500,1300,191
1.386541787017E12,67,118,69,130,1500,1300,191
1.386541787285E12,65,118,69,141,1500,1300,191
1.386541787562E12,65,127,69,129,1500,1300,191
1.386541787831E12,63,128,66,132,1500,1300,191
1.386541788099E12,60,125,63,136,1750,1300,191
1.386541788397E12,58,216,62,141,2000,1300,191
1.386541788728E12,60,202,57,222,2000,1300,191
1.386541789E12,96,183,48,255,2000,1300,191
1.386541789269E12,120,255,64,255,2000,1300,191
1.386541789534E12,134,255,89,255,2000,1300,191
1.38654178981E12,121,98,101,255,2000,1300,191
1.38654179009E12,100,119,118,189,2000,1300,191
1.386541790368E12,107,83,129,119,2000,1300,191
1.386541790644E12,117,62,128,94,2000,1300,191
1.386541790919E12,98,52,134,74,2000,1300,191
1.386541791196E12,117,45,139,59,2000,1300,191
1.386541791466E12,143,40,134,51,2000,1300,191
1.386541791745E12,134,34,138,47,2000,1300,191
1.386541792018E12,140,165,142,162,2000,1300,191
1.3865417923E12,130,36,137,77,1500,1300,191
1.386541792571E12,124,255,136,40,1250,1300,191
1.38654179311E12,125,70,127,255,1250,1300,191
1.386541793396E12,121,70,124,73,1500,1300,191
1.386541793664E12,117,72,121,75,1500,1300,191
1.386541793933E12,121,74,119,76,1500,1300,191
1.386541794204E12,115,78,115,81,1250,1300,191
1.386541794748E12,114,76,109,82,1500,1300,191
1.386541795021E12,118,74,113,80,1500,1300,191
1.386541795288E12,117,74,112,81,1500,1300,191
1.386541795564E12,118,80,112,81,1500,1300,191
1.386541795834E12,113,140,111,86,1500,1300,191
1.386541796112E12,114,129,118,140,1500,1300,191
1.386541796379E12,118,125,116,96,1500,1300,191
1.386541796655E12,118,163,117,115,1500,1300,191
1.38654179692E12,118,159,116,127,1500,1300,191
1.386541797198E12,118,70,114,136,1500,1300,191
1.386541797475E12,119,70,115,75,1500,1300,191
1.386541797743E12,121,68,116,74,1500,1300,191
1.386541798011E12,113,69,116,78,1500,1300,191
1.386541798284E12,118,70,116,77,1500,1300,191
1.386541798555E12,118,70,119,77,1500,1300,191
1.386541798826E12,115,70,116,77,1500,1300,191
1.386541799094E12,118,70,116,76,1500,1300,191
1.386541799363E12,121,70,115,75,1500,1300,191
1.386541799629E12,121,70,119,75,1500,1300,191
1.386541799903E12,117,70,115,75,1500,1300,191
1.386541800175E12,117,71,116,75,1500,1300,191
1.386541800446E12,118,70,117,75,1500,1300,191
1.386541800719E12,117,70,116,77,1500,1300,191
1.386541800986E12,117,70,114,77,1500,1300,191
1.386541801252E12,118,71,116,77,1500,1300,191
1.386541801531E12,114,72,116,77,1500,1300,191
1.3865418018E12,116,72,117,77,1500,1300,191
1.386541802081E12,115,71,116,77,1500,1300,191
1.386541802356E12,116,70,116,79,1500,1300,191
1.386541802631E12,114,255,115,80,1500,1300,191
1.386541802901E12,114,184,116,91,1500,1300,191
1.38654180318E12,112,129,116,255,1500,1300,191
1.386541803454E12,113,139,113,112,1500,1300,191
1.386541803723E12,114,154,112,114,1500,1300,191
1.386541803998E12,113,86,116,114,1500,1300,191
1.386541804275E12,114,74,112,76,1500,1300,191
1.386541804551E12,107,77,112,82,1500,1300,191
1.38654180482E12,110,76,112,82,1500,1300,191
1.386541805095E12,110,81,112,85,1500,1300,191
1.386541805362E12,107,80,113,87,1500,1300,191
1.386541805641E12,106,79,108,86,1500,1300,191
1.386541805913E12,108,83,108,85,1500,1300,191
1.386541806448E12,110,82,108,88,1500,1300,191
1.386541806719E12,108,83,106,88,1500,1300,191
1.386541806991E12,103,83,102,89,1500,1300,191
1.386541807262E12,103,83,103,87,1500,1300,191
1.38654180754E12,100,86,105,92,1500,1300,191
1.386541807807E12,103,85,101,91,1500,1300,191
1.386541808072E12,98,86,102,94,1500,1300,191
