time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386626614582E12,136,70,169,219,2000,1500,191
1.38662661488E12,133,72,167,216,2000,1500,191
1.386626615164E12,138,69,157,218,2000,1500,191
1.386626615449E12,134,72,186,215,2000,1500,191
1.386626615735E12,134,72,159,218,2000,1500,191
1.386626616046E12,133,71,174,208,2000,1500,191
1.386626616333E12,138,69,200,211,2000,1500,191
1.386626616629E12,143,71,185,208,2000,1500,191
1.386626616945E12,134,71,165,213,2000,1500,191
1.386626617232E12,134,70,162,206,2000,1500,191
1.386626617513E12,129,71,136,211,2000,1500,191
1.386626617799E12,135,71,155,216,2000,1500,191
1.386626618107E12,134,72,157,213,2000,1500,191
1.386626618399E12,143,69,180,218,2000,1500,191
1.38662661869E12,143,70,168,214,2000,1500,191
1.38662661898E12,140,71,163,217,2000,1500,191
1.386626619284E12,129,72,155,207,2000,1500,191
1.386626619583E12,133,71,179,210,2000,1500,191
1.386626619877E12,135,72,174,204,2000,1500,191
1.386626620218E12,140,72,156,214,2000,1500,191
1.38662662058E12,133,72,153,207,2000,1500,191
1.386626620915E12,138,72,163,204,1500,1500,191
1.386626621275E12,135,72,207,210,1250,1500,191
1.386626621591E12,138,72,167,210,1000,1500,191
1.386626621923E12,138,72,168,201,1000,1500,191
1.386626622283E12,134,71,168,199,1500,1500,191
1.386626622599E12,139,72,167,204,1500,1500,191
1.3866266229E12,135,71,178,202,1500,1500,191
1.386626623183E12,128,71,167,209,1500,1500,191
1.386626623475E12,143,72,168,211,1500,1500,191
1.386626623789E12,150,71,156,208,1500,1500,191
1.38662662411E12,140,68,207,213,2000,1500,191
1.386626624399E12,148,72,145,202,2000,1500,191
1.386626624683E12,130,72,208,203,2000,1500,191
1.386626624999E12,130,71,147,211,2000,1500,191
1.386626625287E12,131,70,184,217,2000,1500,191
1.386626625567E12,130,70,168,217,2000,1500,191
1.386626625899E12,129,72,255,209,2000,1500,191
1.386626626184E12,129,72,156,200,2000,1500,191
1.386626626469E12,134,72,175,213,2000,1500,191
1.386626626761E12,130,72,173,205,2000,1500,191
1.386626627055E12,139,71,185,204,2000,1500,191
1.386626627346E12,138,72,173,210,2000,1500,191
1.386626627633E12,138,72,162,213,2000,1500,191
1.386626627929E12,134,72,151,209,2000,1500,191
1.386626628214E12,124,72,253,209,2000,1500,191
1.386626628543E12,132,72,163,203,2000,1500,191
1.386626629278E12,138,72,151,211,2000,1500,181
1.386626630192E12,128,72,148,214,2000,1500,181
1.386626630973E12,139,71,158,210,2000,1500,181
1.386626631988E12,135,72,151,202,2000,1500,181
1.386626632374E12,133,72,156,206,2000,1500,191
1.386626632679E12,129,72,168,216,2000,1500,191
1.386626632971E12,142,73,167,201,2000,1500,191
1.386626633255E12,138,71,158,209,2000,1500,191
1.386626633544E12,138,72,152,209,2000,1500,191
1.386626633855E12,131,71,157,207,2000,1500,191
1.386626634143E12,134,72,163,209,2000,1500,191
1.386626634432E12,130,71,179,201,2000,1500,191
1.386626634745E12,139,72,151,207,2000,1500,191
1.386626635041E12,144,69,132,204,2000,1500,191
1.38662663534E12,139,72,166,216,2000,1500,191
1.386626635626E12,134,71,143,210,2000,1500,191
1.386626635932E12,141,71,162,215,2000,1500,191
1.386626636214E12,130,71,168,255,2000,1500,191
1.386626636711E12,129,73,166,81,2000,1500,191
1.386626637228E12,134,75,200,81,1990,1500,191
1.386626637605E12,121,74,255,81,1750,1500,191
1.386626637895E12,122,75,178,82,1710,1500,191
1.386626638194E12,126,75,184,80,1670,1500,191
1.386626638479E12,124,75,209,82,1720,1500,191
1.386626638776E12,125,75,255,81,1700,1500,191
