time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386625443754E12,113,94,115,77,1000,1150,191
1.386625444086E12,130,255,124,79,1000,1150,191
1.38662544437E12,143,255,138,118,1000,1150,191
1.386625444664E12,115,255,181,142,1000,1150,191
1.386625444954E12,255,255,187,156,1000,1150,191
1.38662544524E12,159,255,221,159,1000,1150,191
1.386625445715E12,159,94,209,155,1000,1150,191
1.386625445998E12,139,143,167,151,1000,1150,191
1.386625446421E12,64,122,151,139,1000,1150,191
1.38662544685E12,86,106,80,125,1000,1150,191
1.386625447444E12,174,64,107,119,1000,1500,191
1.3866254479E12,187,80,113,114,1000,1500,191
1.386625448279E12,154,70,108,119,1000,1500,191
1.386625448567E12,155,77,107,113,1000,1500,191
1.386625448849E12,169,76,107,115,1000,1500,191
1.386625449136E12,185,76,108,116,1000,1500,191
1.386625449558E12,159,85,109,114,1000,1500,191
1.386625449934E12,237,74,45,111,1000,1500,191
1.386625450369E12,33,76,34,115,1000,1500,191
1.38662545128E12,69,187,31,255,1000,1500,191
1.386625451584E12,30,216,15,61,1000,1500,191
1.386625451875E12,56,172,16,208,1000,1500,191
1.386625452508E12,16,128,17,149,1000,1500,191
1.386625452937E12,16,86,16,86,1000,1500,191
1.386625453267E12,24,255,15,197,1000,1500,191
1.386625453647E12,25,109,27,255,1000,1500,191
1.386625454088E12,59,255,30,255,1000,1500,191
1.386625454478E12,37,140,37,190,1000,1500,191
1.386625454768E12,37,113,37,154,1000,1500,191
