time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386625808384E12,114,83,105,91,1500,1300,191
1.386625808976E12,107,155,108,197,2000,1300,191
1.386625809299E12,105,135,106,180,2000,1300,191
1.386625809594E12,102,160,106,234,2000,1300,191
1.386625809886E12,99,255,112,245,2000,1300,191
1.386625810243E12,88,201,101,193,2000,1300,191
1.386625810583E12,80,103,98,255,2000,1300,191
1.386625810866E12,71,149,92,255,2000,1300,191
1.386625811194E12,59,255,82,183,2000,1300,191
1.386625811691E12,71,255,70,255,2000,1300,191
1.386625812164E12,88,100,70,182,2000,1300,191
1.386625812637E12,91,120,72,145,2000,1300,191
1.38662581292E12,100,106,79,132,2000,1300,191
1.386625813203E12,104,93,84,122,2000,1300,191
1.38662581349E12,106,88,88,107,2000,1300,191
1.386625813775E12,110,83,92,111,2000,1300,191
1.386625814423E12,100,187,96,182,2000,1500,191
1.386625814825E12,97,183,95,183,2000,1500,191
1.386625815117E12,96,187,95,255,2000,1500,191
1.386625815411E12,94,195,95,110,2000,1500,191
1.386625815749E12,96,187,98,191,2000,1500,191
1.386625816083E12,96,195,98,191,2000,1500,191
1.386625816365E12,97,189,56,202,2000,1500,191
1.386625816652E12,100,189,36,196,2000,1500,191
1.386625816935E12,96,192,28,195,2000,1500,191
1.386625817322E12,44,189,31,255,2000,1500,191
1.386625817668E12,43,202,33,97,1500,1500,191
1.386625818317E12,17,184,95,208,1500,1500,191
1.386625818609E12,21,175,96,194,1500,1500,191
1.386625818895E12,31,179,90,134,1500,1500,191
1.386625819354E12,32,95,85,138,1500,1500,191
1.386625819759E12,27,49,75,207,1500,1500,191
1.386625820138E12,27,186,54,203,1500,1500,191
1.386625820486E12,30,134,85,149,1500,1500,191
1.386625820827E12,34,243,110,255,1500,1500,191
1.386625821115E12,27,210,102,255,1500,1500,191
1.386625821503E12,32,146,76,232,1500,1500,191
1.386625821892E12,110,183,107,186,1500,1500,191
1.386625822375E12,28,115,96,255,1500,1500,191
1.386625822768E12,56,113,52,255,1500,1500,191
1.386625823193E12,122,255,34,94,1500,1500,191
1.386625823574E12,99,201,101,171,1500,1500,191
1.386625823922E12,107,121,98,166,1500,1500,191
1.386625824244E12,102,132,97,176,1500,1500,191
