time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386625591331E12,64,64,168,71,1500,1000,191
1.386625591948E12,138,58,123,59,1000,1000,191
1.386625592283E12,148,116,151,43,1000,1000,191
1.386625592801E12,255,121,255,102,1000,1000,191
1.386625594219E12,255,78,161,75,1000,1500,191
1.38662559467E12,255,55,147,67,1000,1500,191
1.386625595047E12,255,55,178,63,1000,1500,191
1.386625595336E12,237,55,252,64,1000,1500,191
1.386625595684E12,129,56,200,59,1000,1500,191
1.386625596119E12,220,56,139,68,1000,1500,191
1.386625596451E12,255,54,167,68,1000,1500,191
1.386625596842E12,15,54,18,62,1000,1500,191
1.386625597186E12,15,52,46,61,1000,1500,191
1.386625597614E12,37,60,54,58,1000,1500,191
1.386625598121E12,27,177,41,210,1000,1500,191
1.386625598655E12,39,209,18,255,1000,1500,191
1.386625598983E12,66,197,20,255,1000,1500,191
1.386625599273E12,114,215,17,186,1000,1500,191
1.38662559969E12,44,175,18,190,1000,1500,191
1.386625600067E12,41,146,17,40,1000,1500,191
1.386625600546E12,35,79,17,92,1000,1500,191
1.386625600885E12,36,61,17,69,1000,1500,191
1.386625601282E12,17,165,17,160,1000,1500,191
1.386625601711E12,35,255,17,255,1000,1500,191
1.386625602192E12,35,57,16,95,1000,1500,191
1.386625602565E12,34,125,17,91,1000,1500,191
1.386625602996E12,38,255,38,255,1000,1500,191
1.386625603487E12,28,98,44,130,1000,1500,191
1.386625603817E12,15,82,20,94,1000,1500,191
1.386625604256E12,20,82,80,94,1000,1500,191
1.386625604637E12,94,81,85,95,1000,1500,191
1.386625604969E12,95,83,70,98,1000,1500,191
1.386625605355E12,49,82,49,95,1000,1500,191
1.386625605687E12,55,81,49,92,1000,1500,191
1.386625606413E12,106,81,49,94,1500,1500,191
1.386625606702E12,96,82,101,95,1500,1500,191
1.386625607139E12,102,83,70,95,1500,1500,191
1.386625607422E12,99,83,98,94,1500,1500,191
1.386625607708E12,102,82,98,95,1500,1500,191
1.386625607998E12,100,82,98,95,1500,1500,191
1.386625608319E12,102,83,97,95,1500,1500,191
1.386625608603E12,103,83,34,92,1500,1500,191
1.386625608936E12,91,91,90,102,1500,1500,191
1.386625609335E12,67,113,70,126,1500,1500,191
1.38662560967E12,39,135,39,196,1500,1500,191
1.386625609967E12,31,182,34,150,1500,1500,191
1.386625610253E12,32,215,34,52,1500,1500,191
1.386625610536E12,32,194,34,167,1500,1500,191
1.386625610821E12,31,125,31,168,1500,1500,191
1.386625611112E12,31,133,32,158,1500,1500,191
1.386625611399E12,31,133,32,173,1500,1500,191
1.386625611682E12,30,128,31,161,1500,1500,191
1.386625611961E12,30,135,32,160,1500,1500,191
1.386625612263E12,31,146,31,191,1500,1500,191
1.386625612546E12,30,135,32,157,1500,1500,191
1.386625613101E12,31,134,31,159,1500,1500,191
1.386625613436E12,31,146,32,151,1500,1000,191
1.386625613743E12,32,132,32,167,1500,1000,191
1.386625614036E12,33,133,34,174,1500,1000,191
1.386625614322E12,33,129,35,160,1500,1000,191
1.386625614607E12,163,155,123,190,1500,1000,191
