time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386660108789E12,60,48,66,141,1500,1500,191
1.386660109076E12,60,49,66,136,1500,1500,191
1.386660109358E12,60,49,65,138,1500,1500,191
1.386660109645E12,60,49,67,143,1500,1500,191
1.386660109932E12,60,50,65,141,1500,1500,191
1.386660110214E12,60,52,66,129,1500,1500,191
1.386660110499E12,60,46,65,140,1500,1500,191
1.386660110783E12,60,48,66,133,1500,1500,191
1.38666011107E12,60,49,66,141,1500,1500,191
1.386660111355E12,60,48,67,137,1500,1500,191
1.386660111637E12,60,49,65,135,1500,1500,191
1.386660111935E12,60,49,65,134,1500,1500,191
1.386660112223E12,60,48,66,145,1500,1500,191
1.386660112507E12,60,50,65,140,1500,1500,191
1.386660112795E12,60,49,67,139,1500,1500,191
1.386660113087E12,60,50,66,138,1500,1500,191
1.386660113376E12,60,51,66,136,1500,1500,191
1.38666011366E12,60,48,64,130,1500,1500,191
1.386660113945E12,60,48,66,141,1500,1500,191
1.386660114234E12,60,49,65,141,1500,1500,191
1.386660114521E12,60,49,66,141,1500,1500,191
1.38666011481E12,60,48,66,135,1500,1500,191
1.386660115384E12,60,48,65,130,1500,1500,191
1.386660115676E12,59,48,66,138,1500,1500,191
1.386660115963E12,59,50,65,146,1500,1500,191
1.386660116259E12,59,49,67,135,1500,1500,191
1.386660116547E12,60,48,67,144,1500,1500,191
1.386660116831E12,60,49,65,134,1500,1500,191
1.386660117119E12,60,50,66,136,1500,1500,191
1.386660117407E12,60,48,67,131,1500,1500,191
1.386660117694E12,61,49,66,140,1500,1500,191
1.386660117979E12,59,48,67,135,1500,1500,191
1.386660118263E12,59,48,66,134,1500,1500,191
1.386660118921E12,60,48,66,129,1500,1500,175
1.386660119599E12,60,50,67,139,1500,1500,175
1.386660120278E12,60,51,66,135,1500,1500,175
1.386660120949E12,59,48,67,134,1500,1500,175
1.386660121636E12,60,48,65,136,1500,1500,175
1.386660122469E12,59,49,67,136,1500,1500,175
1.38666012315E12,60,50,66,136,1360,1500,175
1.386660123842E12,60,52,66,131,1320,1500,175
1.38666012452E12,60,48,66,130,1340,1500,175
1.386660125197E12,60,49,66,136,1340,1500,175
1.386660125881E12,60,159,65,139,1370,1500,175
1.386660126665E12,60,125,65,133,1400,1500,175
1.386660127383E12,60,125,64,141,1390,1500,175
1.386660128067E12,60,130,66,138,1330,1500,175
1.386660128938E12,59,130,65,138,1330,1300,175
1.386660129648E12,60,148,63,135,1450,1300,175
1.386660130367E12,255,182,59,183,2000,1300,171
1.386660131037E12,255,154,255,255,2000,1300,171
1.386660131715E12,255,255,215,255,1000,1700,171
1.386660132385E12,255,255,119,255,1000,1700,171
1.386660133057E12,51,255,104,255,1000,1700,171
1.386660133733E12,139,255,167,255,2000,1300,171
1.386660134415E12,100,255,146,255,2000,1300,171
1.386660135126E12,32,121,112,126,2000,1300,171
1.38666013551E12,33,122,29,148,1400,1300,191
1.386660135799E12,34,128,32,149,1340,1300,191
1.386660136085E12,38,125,35,143,1380,1300,191
1.386660136374E12,42,124,39,151,1550,1300,191
1.386660136664E12,45,52,43,147,1560,1300,191
1.386660136948E12,48,55,45,81,1580,1300,191
1.386660137242E12,52,70,48,92,1620,1300,191
1.386660137529E12,55,69,52,92,1640,1300,191
1.386660137819E12,57,92,54,255,1620,1300,191
1.386660138105E12,58,180,57,180,1610,1300,191
1.386660138388E12,60,124,60,161,1570,1300,191
1.386660138672E12,62,124,61,134,1440,1300,191
1.386660138954E12,64,114,64,137,1560,1300,191
1.386660139238E12,67,116,64,134,1540,1300,191
1.386660139525E12,67,117,66,130,1490,1300,191
1.38666013981E12,68,116,68,124,1470,1300,191
1.386660140103E12,71,110,70,127,1500,1300,191
1.386660140394E12,73,110,70,122,1590,1300,191
1.386660140682E12,74,106,73,120,1510,1300,191
1.386660140978E12,77,133,73,122,1620,1300,191
1.386660141262E12,75,162,76,156,1440,1300,191
1.386660141874E12,76,148,78,151,1460,1400,191
1.386660142166E12,76,124,77,168,1610,1400,191
1.386660142453E12,74,119,77,195,1520,1400,191
1.386660142742E12,76,114,78,159,1550,1400,191
1.386660143027E12,76,97,77,122,1620,1400,191
1.386660143321E12,76,107,77,132,1610,1400,191
1.386660143615E12,76,108,75,62,1670,1400,191
1.386660143909E12,74,113,78,101,1370,1400,191
1.386660144208E12,74,110,74,117,1490,1400,191
1.386660144554E12,76,106,75,122,1540,1100,191
1.386660144867E12,76,103,77,118,1490,1100,191
1.386660145178E12,74,111,78,119,1470,1000,191
1.386660145469E12,75,112,75,126,1500,1000,191
1.386660145757E12,77,113,78,116,1490,1000,191
1.386660146043E12,80,103,78,113,1610,1000,191
1.386660146332E12,80,103,83,125,1640,1000,191
1.38666014662E12,78,105,81,117,1420,1000,191
1.38666014691E12,78,109,80,111,1470,1000,191
1.38666014721E12,83,103,80,115,1650,1000,191
1.386660147498E12,83,99,82,110,1570,1000,191
1.38666014779E12,83,110,85,115,1510,1000,191
1.386660148077E12,83,129,81,255,1720,1000,191
1.386660148362E12,78,118,82,137,1370,1000,191
1.386660148645E12,76,104,78,167,1580,1000,191
