time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386627378729E12,64,119,70,134,1220,1500,191
1.386627379038E12,64,124,69,137,1280,1500,191
1.386627379719E12,64,121,69,132,1260,1500,175
1.386627380391E12,64,122,70,135,1250,1500,175
1.386627381273E12,63,120,69,132,1250,1300,175
1.386627382007E12,67,122,69,139,1350,1300,175
1.386627382773E12,72,112,71,125,1540,1300,175
1.386627383483E12,78,103,77,117,1560,1300,175
1.386627384949E12,255,102,255,114,1910,1300,171
1.386627385801E12,255,134,255,141,1910,1300,171
1.386627386558E12,255,215,255,155,1990,1300,171
1.386627387859E12,46,255,255,255,1710,1750,171
1.386627388871E12,255,134,179,160,1990,1300,171
1.386627389862E12,255,255,151,255,2000,1750,171
1.386627390985E12,255,255,162,255,1000,1750,171
1.38662739362E12,255,255,195,255,1000,1750,171
1.386627394658E12,255,255,255,255,2000,1300,171
1.386627395552E12,255,255,255,255,1000,1300,171
1.386627396436E12,205,255,255,255,1770,1300,171
1.386627397431E12,159,255,168,255,1320,1750,171
1.386627398302E12,255,255,255,255,1940,1300,171
1.386627399146E12,255,255,255,255,1910,1300,171
1.38662740062E12,148,51,255,41,1890,1300,171
1.38662740158E12,125,132,169,118,1350,1750,171
1.386627402222E12,95,150,126,157,1000,1300,191
1.386627402512E12,77,181,106,183,1000,1300,191
1.386627402794E12,61,176,89,171,1000,1300,191
1.386627403183E12,51,182,70,167,2000,1300,191
1.386627403778E12,43,192,53,156,1000,1300,191
1.38662740408E12,42,164,49,155,1080,1300,191
1.38662740438E12,43,175,46,159,1210,1300,191
1.386627404716E12,163,176,46,194,1230,1300,191
1.38662740504E12,167,161,168,184,1230,1300,191
1.386627405325E12,130,148,172,205,1350,1300,191
1.38662740566E12,214,149,173,106,1260,1300,191
1.386627405949E12,255,150,194,134,1000,1300,191
1.386627406236E12,255,146,166,159,1000,1300,191
1.386627406526E12,255,148,255,171,1000,1300,191
1.386627406814E12,140,145,255,146,1000,1300,191
1.386627407202E12,121,130,100,255,1490,1300,191
1.386627407553E12,164,235,157,255,1040,1300,191
1.386627408028E12,255,216,255,255,1040,1750,191
1.386627408502E12,255,255,163,255,1040,1750,191
1.386627408977E12,255,255,167,255,1040,1750,191
1.386627409481E12,255,255,162,255,1040,1750,191
1.386627409961E12,255,255,154,255,1040,1750,191
1.386627410439E12,255,255,157,255,1040,1750,191
1.386627410915E12,255,255,153,255,1040,1750,191
1.386627411774E12,255,255,159,255,1500,1500,191
1.386627412246E12,255,255,166,255,1500,1500,191
1.38662741308E12,255,255,192,255,1500,1600,191
1.386627413933E12,255,255,185,255,1500,1700,191
1.386627414679E12,255,89,157,255,1500,1750,191
