time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386627241622E12,72,138,72,210,1500,1500,191
1.386627241954E12,69,182,71,172,1500,1500,191
1.386627242255E12,72,170,69,187,1500,1500,191
1.386627242562E12,71,162,71,255,1500,1500,191
1.386627242858E12,70,162,69,232,1500,1500,191
1.386627243154E12,72,163,72,241,1500,1500,191
1.386627243445E12,71,165,71,255,1500,1500,191
1.386627243755E12,70,187,72,255,1500,1500,191
1.38662724405E12,71,148,69,255,1500,1500,191
1.386627244359E12,71,201,71,255,1500,1500,191
1.386627244655E12,70,232,71,255,1500,1500,191
1.386627244949E12,70,187,71,255,1500,1500,191
1.386627245235E12,70,177,71,255,1500,1500,191
1.386627245538E12,71,138,72,255,1500,1500,191
1.386627245827E12,69,143,71,255,1500,1500,191
1.386627246113E12,71,170,71,255,1500,1500,191
1.386627246398E12,71,169,69,255,1500,1500,191
1.38662724674E12,70,196,70,255,1500,1500,191
1.386627247031E12,70,154,69,255,1500,1500,191
1.38662724732E12,70,196,71,255,1500,1500,191
1.386627247615E12,70,182,72,255,1500,1500,191
1.386627248195E12,69,222,68,255,1500,1500,191
1.386627248506E12,71,176,69,255,1500,1500,191
1.38662724879E12,70,159,71,255,1500,1500,191
1.386627249078E12,70,219,70,255,1500,1500,191
1.386627249387E12,70,203,71,255,1500,1500,191
1.386627249675E12,70,203,70,255,1500,1500,191
1.386627249968E12,69,208,72,255,1500,1500,191
1.386627250258E12,71,168,72,255,1500,1500,191
1.38662725055E12,70,243,71,255,1500,1500,191
1.386627250869E12,69,163,71,255,1500,1500,191
1.386627251162E12,69,189,71,255,1500,1500,191
1.386627251454E12,69,215,71,255,1500,1500,191
1.386627251753E12,70,182,71,255,1500,1500,191
1.386627252039E12,69,202,71,255,1500,1500,191
1.386627252329E12,71,165,72,255,1500,1500,191
1.386627252691E12,71,149,68,255,1500,1500,191
1.386627253034E12,69,159,71,255,1500,1500,191
1.386627253322E12,71,218,72,255,1500,1500,191
1.386627253663E12,69,187,71,255,1500,1500,191
1.386627253995E12,71,224,74,255,1500,1500,191
1.386627254308E12,70,165,72,255,1500,1500,191
1.386627254611E12,70,194,69,255,1500,1500,191
1.386627254974E12,70,245,69,255,1750,1500,191
1.386627255465E12,70,174,71,255,2000,1500,191
1.38662725582E12,71,188,71,255,1500,1500,191
1.386627256127E12,71,171,72,255,1500,1500,191
1.386627256446E12,71,163,71,255,1500,1500,191
1.386627256737E12,70,201,71,255,1500,1500,191
1.386627257026E12,70,163,72,255,1500,1500,191
1.386627257318E12,72,207,73,255,1500,1500,191
1.386627257625E12,70,181,70,255,1500,1500,191
1.386627257926E12,70,194,71,255,1500,1500,191
1.386627258601E12,71,148,70,255,1500,1500,175
1.386627259263E12,71,169,71,255,1500,1500,175
1.386627260255E12,69,149,71,255,1500,1500,175
1.386627261143E12,72,186,69,255,1500,1500,175
1.386627262039E12,72,221,71,255,1500,1500,175
1.386627262709E12,72,203,71,255,1500,1500,175
1.38662726338E12,72,194,71,250,1500,1500,175
1.386627264057E12,71,175,71,217,1500,1500,175
1.386627265652E12,72,190,72,127,1500,1300,175
1.386627267667E12,81,134,80,175,1500,1300,175
1.386627268323E12,86,132,81,143,1500,1300,175
1.386627269036E12,59,161,62,140,1500,1300,171
1.386627269708E12,62,167,62,242,1500,1300,171
1.386627270513E12,52,170,63,181,1500,1300,171
1.386627271315E12,255,255,255,190,1500,1300,171
1.386627272571E12,255,255,255,255,1500,1500,171
1.38662727353E12,255,213,255,255,1500,1500,171
1.386627275239E12,255,239,255,255,1500,1550,171
1.38662727836E12,255,255,255,100,1500,2000,171
1.386627279675E12,66,160,70,233,1500,1500,191
1.386627280016E12,70,122,101,140,1500,1500,191
1.386627280348E12,69,125,102,134,1500,1500,191
1.386627280676E12,72,122,101,130,1500,1500,191
1.386627280964E12,70,121,104,130,1500,1500,191
1.386627281261E12,70,124,101,134,1500,1500,191
1.386627281549E12,69,121,100,135,1500,1500,191
1.386627281833E12,69,124,105,128,1500,1500,191
1.386627282122E12,70,125,104,136,1500,1500,191
1.386627282963E12,71,52,102,128,1500,1500,191
1.386627283462E12,70,46,99,132,1500,1500,191
1.386627283756E12,71,46,104,124,1500,1500,191
