time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386623371136E12,255,70,128,29,1000,1500,191
1.38662337163E12,255,75,152,29,1000,1500,191
1.38662337211E12,255,77,129,29,1000,1500,191
1.386623372585E12,255,76,137,29,1000,1500,191
1.386623373057E12,255,76,167,29,1000,1500,191
1.386623373529E12,255,74,121,29,1000,1500,191
1.386623374003E12,255,75,114,29,1000,1500,191
1.386623374482E12,255,76,81,29,1000,1500,191
1.386623374956E12,255,76,64,29,1000,1500,191
1.386623375431E12,255,74,60,29,1000,1500,191
1.386623375909E12,255,74,54,29,1000,1500,191
1.386623376379E12,255,74,54,29,1000,1500,191
1.386623376854E12,255,76,50,29,1000,1500,191
1.386623377333E12,255,74,68,29,1000,1500,191
1.386623377806E12,255,74,53,29,1000,1500,191
1.38662337828E12,255,75,47,29,1000,1500,191
1.386623378759E12,255,75,46,29,1000,1500,191
1.386623379235E12,255,76,54,29,1000,1500,191
1.386623379716E12,255,73,50,29,1000,1500,191
1.386623380233E12,255,74,49,29,1000,1500,191
1.386623380705E12,255,76,50,29,1000,1500,191
1.386623381184E12,255,75,44,29,1000,1500,191
1.386623381655E12,255,74,44,29,1000,1500,191
1.386623382128E12,255,74,48,29,1000,1500,191
1.386623382613E12,230,74,39,29,1000,1500,191
1.386623383092E12,255,74,39,29,1000,1500,191
1.386623383564E12,255,76,39,29,1000,1500,191
1.386623384047E12,255,76,125,29,1000,1500,191
1.386623384571E12,255,75,113,29,1000,1500,191
1.386623385052E12,255,74,38,29,1000,1500,191
1.38662338553E12,255,76,45,29,1000,1500,191
1.386623386067E12,255,76,46,29,1000,1500,191
1.386623386607E12,200,74,46,29,1000,1500,191
1.386623387088E12,236,75,47,29,1000,1500,191
1.386623387563E12,255,75,45,29,1000,1500,191
1.386623388039E12,255,73,45,29,1000,1500,191
1.386623388741E12,255,75,46,29,1000,1500,191
1.386623389225E12,210,74,46,29,1000,1500,191
1.386623389907E12,141,75,46,29,1000,1500,191
1.386623390497E12,255,74,45,29,1000,1500,191
1.386623391049E12,255,75,55,29,1000,1500,191
1.386623391548E12,255,75,55,29,1000,1500,191
