time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386624700126E12,146,255,155,25,1500,1500,191
1.386624700409E12,153,255,157,25,1500,1500,191
1.386624700691E12,154,255,168,25,1500,1500,191
1.386624700974E12,143,255,158,25,1500,1500,191
1.386624701255E12,148,255,157,25,1500,1500,191
1.38662470154E12,155,255,167,26,1500,1500,191
1.386624701822E12,148,255,152,25,1500,1500,191
1.386624702113E12,153,255,162,25,1500,1500,191
1.386624702405E12,144,255,168,25,1500,1500,191
1.386624702689E12,139,255,157,26,1500,1500,191
1.386624702981E12,134,255,155,25,1500,1500,191
1.386624703263E12,174,255,179,25,1500,1500,191
1.386624703545E12,181,255,155,26,1500,1500,191
1.386624703923E12,163,255,157,25,1500,1500,191
1.386624704205E12,145,255,157,25,1500,1500,191
1.38662470451E12,148,255,159,25,1500,1500,191
1.386624704794E12,148,255,157,25,1500,1500,191
1.386624705078E12,149,255,158,25,1500,1500,191
1.38662470537E12,148,255,158,25,1500,1500,191
1.386624705652E12,144,255,156,26,1500,1500,191
1.386624705939E12,203,255,156,25,1500,1500,191
1.386624706224E12,147,255,153,25,1500,1500,191
1.38662470651E12,153,255,152,25,1500,1500,191
1.386624706798E12,153,255,158,25,1500,1500,191
1.386624707083E12,143,255,157,25,1500,1500,191
1.386624707365E12,139,255,157,25,1500,1500,191
1.386624707657E12,149,255,155,26,1500,1500,191
1.386624707939E12,156,255,156,25,1500,1500,191
1.386624708269E12,232,226,157,25,1500,1500,191
1.386624708555E12,148,255,153,25,1500,1500,191
1.386624708845E12,143,255,156,26,1500,1500,191
1.386624709127E12,145,255,156,26,1500,1500,191
1.386624709414E12,153,255,156,25,1500,1500,191
1.386624709735E12,148,255,151,25,1500,1500,191
1.386624710015E12,148,255,156,25,1500,1500,191
1.386624710295E12,143,255,163,25,1500,1500,191
1.386624710581E12,169,255,152,25,1500,1500,191
1.386624710865E12,148,255,157,25,1500,1500,191
1.386624711146E12,145,255,157,25,1500,1500,191
1.38662471143E12,148,255,158,25,1500,1500,191
1.386624711715E12,146,255,152,25,1500,1500,191
1.386624712006E12,144,255,156,25,1500,1500,191
1.386624712296E12,149,255,151,26,1500,1500,191
1.386624712579E12,159,255,154,25,1500,1500,191
1.386624712859E12,255,140,157,27,1500,1500,191
1.386624713141E12,183,255,153,26,1500,1500,191
1.386624713422E12,154,255,151,26,1500,1500,191
1.386624713704E12,143,255,158,26,1500,1500,191
1.386624714011E12,151,255,156,27,1500,1500,191
1.386624714347E12,154,255,153,26,1500,1400,191
1.38662471474E12,143,255,163,26,1500,1350,191
1.386624715103E12,154,255,155,25,1500,1250,191
1.386624715453E12,138,255,156,255,1500,1200,191
1.386624715731E12,149,255,154,255,1500,1200,191
1.386624716014E12,155,255,157,255,1500,1200,191
1.386624716303E12,149,255,151,255,1500,1200,191
1.386624716588E12,148,255,156,255,1500,1200,191
1.386624716887E12,140,255,152,255,1500,1200,191
1.386624717169E12,154,145,149,255,1500,1200,191
1.386624717457E12,169,114,152,255,1500,1200,191
1.386624717746E12,138,48,157,255,1500,1200,191
1.386624718121E12,138,48,144,47,1500,1200,191
1.386624718643E12,210,50,100,51,1500,1200,191
1.386624719167E12,245,51,255,53,1500,1200,191
1.386624719603E12,196,53,246,57,1500,1200,191
1.386624719917E12,202,56,237,58,1500,1200,191
1.386624720211E12,216,57,239,59,1500,1200,191
1.386624720505E12,148,59,214,60,1500,1200,191
1.386624721093E12,138,62,141,65,1500,1200,191
1.386624721374E12,143,62,142,66,1500,1200,191
1.386624721662E12,144,65,141,69,1500,1200,191
1.386624721947E12,126,66,137,67,1500,1200,191
1.386624722233E12,130,67,137,71,1500,1200,191
1.386624722541E12,133,70,141,75,1500,1200,191
1.386624722834E12,139,73,128,76,1500,1200,191
1.386624723441E12,122,78,147,82,1500,1200,191
1.386624723775E12,121,78,113,84,1500,1200,191
1.386624724061E12,127,82,173,86,1500,1200,191
1.38662472437E12,107,81,108,85,1500,1200,191
1.386624724707E12,110,86,113,90,1500,1200,191
1.38662472501E12,94,89,106,95,1500,1200,191
1.386624725351E12,115,91,109,97,1500,1200,191
1.386624725695E12,120,93,116,100,1500,1200,191
1.386624726035E12,105,95,116,110,1500,1200,191
1.386624726426E12,106,100,108,104,1500,1200,191
1.386624726848E12,103,103,104,108,1500,1200,191
1.386624727282E12,169,134,105,109,1500,1200,191
1.38662472769E12,181,169,185,196,1500,1200,191
1.386624728136E12,163,134,194,121,1500,1200,191
1.386624728465E12,158,113,178,255,1500,1200,191
1.386624728862E12,181,128,255,150,1500,1200,191
1.386624729209E12,138,129,255,151,1500,1200,191
1.386624729502E12,75,123,242,143,1500,1200,191
1.386624729909E12,66,145,74,148,1500,1200,191
1.38662473023E12,66,255,70,149,1500,1200,191
1.386624730519E12,62,255,66,255,1500,1200,191
1.386624730812E12,55,255,64,255,1500,1200,191
1.386624731106E12,54,255,59,255,1500,1200,191
1.386624731428E12,51,255,56,255,1500,1500,191
1.386624731739E12,49,255,54,255,1500,1500,191
