time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386624500285E12,35,141,35,184,1750,1500,191
1.386624500574E12,34,144,35,160,1750,1500,191
1.386624500878E12,34,143,35,175,1750,1500,191
1.386624501176E12,35,138,35,173,1750,1500,191
1.386624501474E12,35,121,35,181,1750,1500,191
1.386624501756E12,35,155,35,151,1750,1500,191
1.386624502063E12,34,124,36,168,1750,1500,191
1.386624502347E12,35,177,35,168,1750,1500,191
1.386624502635E12,35,140,35,158,1750,1500,191
1.38662450293E12,35,124,35,192,1750,1500,191
1.386624503215E12,35,228,35,148,1750,1500,191
1.386624503527E12,35,143,35,165,1750,1500,191
1.386624503816E12,34,128,35,159,1750,1500,191
1.38662450413E12,35,145,35,160,1750,1500,191
1.386624504416E12,35,148,35,173,1750,1500,191
1.386624504732E12,35,133,35,184,1750,1500,191
1.386624505017E12,34,116,35,148,1750,1500,191
1.38662450533E12,34,188,35,166,1750,1500,191
1.386624505616E12,34,128,35,164,1750,1500,191
1.386624505907E12,35,139,35,166,1750,1500,191
1.386624506219E12,34,159,35,161,1750,1500,191
1.386624506504E12,35,122,35,182,1750,1500,191
1.386624506823E12,35,155,35,159,1750,1500,191
1.38662450711E12,35,134,36,163,1750,1500,191
1.386624507422E12,34,141,35,172,1750,1500,191
1.386624507705E12,35,137,35,166,1750,1500,191
1.386624508026E12,35,154,35,165,1750,1500,191
1.386624508323E12,35,148,35,155,1750,1500,191
1.386624508628E12,35,153,35,178,1750,1500,191
1.386624508919E12,34,148,36,181,1750,1500,191
1.386624509224E12,34,143,35,162,1750,1500,191
1.386624509511E12,34,143,35,159,1750,1500,191
1.386624509798E12,35,149,35,173,1750,1500,191
1.386624510112E12,35,118,35,180,1750,1500,191
1.386624510418E12,34,155,15,151,1750,1500,191
1.386624510729E12,35,129,31,171,1750,1500,191
1.38662451102E12,34,148,17,162,1750,1500,191
1.386624511319E12,25,171,18,169,1750,1500,191
1.386624511608E12,26,121,16,196,1750,1500,191
1.386624511931E12,27,200,31,161,1750,1500,191
1.386624512533E12,28,154,28,162,1750,1500,191
1.386624512821E12,30,144,34,159,1750,1500,191
1.386624513113E12,30,141,18,171,1750,1500,191
1.386624513401E12,30,136,30,176,1750,1500,191
1.386624513684E12,30,117,30,248,1750,1500,191
