time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386566973872E12,37,255,33,167,1550,1550,191
1.386566974172E12,37,255,33,171,1540,1550,191
1.386566974475E12,37,255,33,175,1560,1550,191
1.386566974775E12,37,255,33,178,1550,1550,191
1.386566975074E12,38,255,33,175,1530,1550,191
1.386566975383E12,37,255,33,172,1540,1550,191
1.386566975683E12,37,255,32,172,1530,1550,191
1.386566975988E12,37,255,33,169,1540,1550,191
1.386566976293E12,37,255,33,173,1540,1550,191
1.386566976594E12,37,255,33,168,1540,1550,191
1.386566976895E12,37,255,33,166,1540,1550,191
1.386566977202E12,37,255,33,173,1550,1550,191
1.386566977503E12,38,255,33,164,1540,1550,191
1.386566977807E12,37,255,33,172,1540,1550,191
1.386566978109E12,38,255,33,170,1540,1550,191
1.386566978411E12,37,255,33,177,1550,1550,191
1.386566978709E12,38,255,32,174,1530,1550,191
1.38656697901E12,37,255,33,165,1560,1550,191
1.386566979311E12,37,255,33,166,1550,1550,191
1.386566979617E12,37,255,33,168,1550,1550,191
1.386566979924E12,37,255,33,167,1550,1550,191
1.386566980223E12,37,255,33,170,1550,1550,191
1.386566980523E12,37,255,33,170,1540,1550,191
1.386566980824E12,37,255,33,170,1550,1550,191
1.386566981124E12,37,255,32,177,1540,1550,191
1.386566981423E12,37,255,33,169,1550,1550,191
1.386566981728E12,37,255,33,168,1540,1550,191
1.386566982029E12,38,255,33,173,1530,1550,191
1.386566982329E12,37,255,33,110,1550,1550,191
1.386566982632E12,37,252,33,255,1540,1550,191
1.386566982931E12,37,255,33,166,1550,1550,191
1.386566983243E12,37,255,33,163,1550,1550,191
1.386566983542E12,38,255,32,171,1530,1550,191
1.386566983842E12,37,255,33,167,1550,1550,191
1.386566984144E12,37,255,33,173,1550,1550,191
1.386566984448E12,37,255,33,167,1540,1550,191
1.386566984748E12,37,255,33,171,1540,1550,191
1.386566985053E12,37,255,33,173,1550,1550,191
1.386566985353E12,38,255,33,172,1540,1550,191
1.386566985654E12,37,255,33,175,1550,1550,191
1.386566985961E12,37,255,33,171,1550,1550,191
1.386566986262E12,37,255,33,177,1540,1550,191
1.386566986564E12,37,255,33,175,1540,1550,191
1.38656698687E12,37,255,33,169,1560,1550,191
1.386566987171E12,37,255,33,168,1540,1550,191
1.386566987472E12,38,255,33,174,1530,1550,191
1.38656698777E12,37,255,33,176,1540,1550,191
1.386566988068E12,37,255,32,155,1530,1550,191
1.386566988373E12,37,255,33,179,1550,1550,191
1.386566988673E12,38,255,33,135,1540,1550,191
1.386566988971E12,37,86,33,161,1540,1550,191
1.386566989272E12,38,80,33,122,1530,1550,191
1.386566989573E12,38,78,32,169,1530,1550,191
1.386566989873E12,38,59,33,186,1530,1550,191
1.386566990175E12,38,255,33,179,1540,1550,191
1.386566990478E12,38,255,32,164,1520,1550,191
1.386566990786E12,37,255,33,162,1540,1550,191
1.386566991093E12,37,255,32,170,1530,1550,191
1.386566991396E12,37,255,33,166,1550,1550,191
1.386566991697E12,37,255,33,164,1550,1550,191
1.386566992E12,37,255,33,170,1550,1550,191
1.386566992301E12,37,239,32,171,1530,1550,191
