time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386624717746E12,138,48,157,255,1500,1200,191
1.386624718121E12,138,48,144,47,1500,1200,191
1.386624718643E12,210,50,100,51,1500,1200,191
1.386624719167E12,245,51,255,53,1500,1200,191
1.386624719603E12,196,53,246,57,1500,1200,191
1.386624719917E12,202,56,237,58,1500,1200,191
1.386624720211E12,216,57,239,59,1500,1200,191
1.386624720505E12,148,59,214,60,1500,1200,191
1.386624721093E12,138,62,141,65,1500,1200,191
1.386624721374E12,143,62,142,66,1500,1200,191
1.386624721662E12,144,65,141,69,1500,1200,191
1.386624721947E12,126,66,137,67,1500,1200,191
1.386624722233E12,130,67,137,71,1500,1200,191
1.386624722541E12,133,70,141,75,1500,1200,191
1.386624722834E12,139,73,128,76,1500,1200,191
1.386624723441E12,122,78,147,82,1500,1200,191
1.386624723775E12,121,78,113,84,1500,1200,191
1.386624724061E12,127,82,173,86,1500,1200,191
1.38662472437E12,107,81,108,85,1500,1200,191
1.386624724707E12,110,86,113,90,1500,1200,191
1.38662472501E12,94,89,106,95,1500,1200,191
1.386624725351E12,115,91,109,97,1500,1200,191
1.386624725695E12,120,93,116,100,1500,1200,191
1.386624726035E12,105,95,116,110,1500,1200,191
1.386624726426E12,106,100,108,104,1500,1200,191
1.386624726848E12,103,103,104,108,1500,1200,191
1.386624727282E12,169,134,105,109,1500,1200,191
1.38662472769E12,181,169,185,196,1500,1200,191
1.386624728136E12,163,134,194,121,1500,1200,191
1.386624728465E12,158,113,178,255,1500,1200,191
1.386624728862E12,181,128,255,150,1500,1200,191
1.386624729209E12,138,129,255,151,1500,1200,191
1.386624729502E12,75,123,242,143,1500,1200,191
