time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386626283133E12,21,255,57,255,0,1500,191
1.386626283417E12,17,255,43,255,0,1500,191
1.386626283714E12,26,255,178,255,0,1500,191
1.386626284011E12,36,255,147,255,0,1500,191
1.386626284296E12,41,255,162,255,1190,1500,191
1.386626284588E12,33,255,160,255,1190,1500,191
1.386626284882E12,31,113,168,255,1860,1500,191
1.386626285172E12,39,103,172,118,1870,1500,191
1.386626285477E12,40,102,174,110,1630,1500,191
1.386626285783E12,25,88,185,94,1640,1500,191
1.386626286084E12,26,74,84,81,1770,1500,191
1.386626286386E12,115,73,58,81,1780,1500,191
1.386626286686E12,118,72,52,80,1770,1500,191
1.386626286972E12,116,74,55,82,1760,1500,191
1.386626287298E12,114,75,121,81,1700,1500,191
1.386626287596E12,117,75,125,81,1720,1500,191
1.386626287888E12,65,74,116,82,1760,1500,191
1.386626288175E12,52,76,119,80,1620,1500,191
1.386626288469E12,32,75,120,81,1700,1500,191
1.386626288768E12,44,74,116,79,1670,1500,191
1.38662628907E12,33,73,117,80,1730,1500,191
1.386626289378E12,38,73,112,82,1830,1500,191
1.386626289684E12,38,72,113,81,1830,1500,191
1.386626289984E12,38,71,112,81,1880,1500,191
1.386626290271E12,39,72,112,82,1830,1500,191
1.386626290569E12,40,72,112,81,1850,1500,191
1.386626290853E12,118,72,112,81,1830,1500,191
1.386626291145E12,114,73,112,82,1810,1500,191
1.38662629148E12,66,74,114,80,1730,1500,191
1.386626291791E12,72,71,110,81,1850,1500,191
1.386626292101E12,81,72,113,80,1800,1500,191
1.386626292409E12,80,71,110,81,1880,1500,191
1.386626292706E12,83,71,113,80,1830,1500,191
1.386626293004E12,84,71,113,81,1860,1500,191
1.386626293317E12,84,71,112,80,1830,1500,191
1.386626293628E12,87,72,116,81,1820,1500,191
1.38662629392E12,85,71,112,80,1840,1500,191
1.386626294231E12,85,71,110,81,1880,1500,191
1.386626294552E12,79,72,112,81,1820,1500,191
1.386626294843E12,96,72,116,81,1810,1500,191
1.386626295144E12,90,71,114,81,1850,1500,191
1.386626295443E12,122,72,112,81,1830,1500,191
1.386626295737E12,77,74,112,81,1760,1500,191
1.386626296036E12,81,72,111,81,1840,1500,191
1.386626296335E12,95,72,113,81,1820,1500,191
1.386626296634E12,90,72,112,81,1830,1500,191
1.386626296936E12,100,72,112,82,1850,1500,191
1.386626297239E12,91,72,111,81,1840,1500,191
1.386626297538E12,74,71,111,81,1850,1500,191
1.386626297826E12,73,72,111,81,1830,1500,191
1.386626298128E12,118,71,112,81,1860,1500,191
1.386626298426E12,121,71,112,81,1850,1500,191
1.386626298724E12,51,72,110,81,1840,1500,191
1.386626299029E12,118,72,113,81,1820,1500,191
1.386626299326E12,110,74,112,79,1670,1500,191
1.386626299631E12,53,72,112,80,1790,1500,191
1.386626299943E12,118,71,116,82,1880,1500,191
1.38662630023E12,120,72,115,79,1780,1500,191
1.386626300537E12,115,73,112,78,1710,1500,191
1.386626300827E12,112,71,112,81,1860,1500,191
1.386626301132E12,117,72,116,82,1880,1500,191
1.386626301429E12,114,73,112,81,1790,1500,191
1.38662630173E12,110,72,112,82,1870,1500,191
1.386626302038E12,114,72,112,82,1880,1500,191
1.38662630233E12,110,71,111,81,1880,1500,191
1.38662630263E12,110,71,112,81,1840,1500,191
1.386626302928E12,49,72,110,79,1770,1500,191
1.386626303235E12,115,71,112,82,1880,1500,191
1.386626303543E12,114,70,72,81,1890,1500,191
1.386626303843E12,67,72,61,81,1820,1500,191
1.386626304141E12,79,70,63,81,1930,1500,191
1.386626304442E12,65,72,65,78,1750,1500,191
1.386626304751E12,65,73,64,81,1810,1500,191
1.386626305047E12,72,71,66,81,1850,1500,191
1.386626305347E12,67,70,66,81,1900,1500,191
1.386626305658E12,65,74,70,81,1750,1500,191
1.386626305968E12,67,70,65,80,1850,1500,191
1.386626306258E12,68,71,69,80,1830,1500,191
1.386626306549E12,67,70,64,80,1850,1500,191
