time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386673769302E12,46,82,47,252,1300,1500,191
1.386673769588E12,46,107,47,241,1300,1500,191
1.386673769875E12,46,118,47,241,1300,1500,191
1.386673770154E12,46,94,46,241,1340,1500,191
1.386673770449E12,46,94,47,255,1310,1500,191
1.386673770752E12,46,96,47,235,1320,1300,191
1.386673771036E12,47,103,47,138,1340,1300,191
1.386673771323E12,49,255,48,118,1390,1300,191
1.386673771614E12,252,201,50,115,1370,1300,191
1.386673771899E12,255,153,45,82,1690,1300,191
1.386673772185E12,255,148,35,241,2000,1300,191
1.386673772468E12,54,148,255,255,2000,1300,191
1.386673772746E12,49,164,255,255,2000,1300,191
1.386673773028E12,44,255,255,255,2000,1300,191
1.386673773317E12,40,208,47,255,1770,1300,191
1.386673773601E12,34,120,44,255,1180,1300,191
1.38667377417E12,25,115,35,255,1000,1300,191
1.386673774453E12,26,143,32,217,1010,1300,191
1.386673774739E12,30,143,32,226,1170,1300,191
1.386673775024E12,34,143,33,233,1310,1300,191
1.386673775309E12,37,139,35,255,1370,1300,191
1.386673775602E12,40,93,37,255,1410,1300,191
1.386673775884E12,43,169,40,162,1450,1300,191
1.386673776176E12,47,253,43,255,1470,1300,191
1.386673776467E12,51,82,46,255,1540,1300,191
1.386673776754E12,54,98,50,189,1530,1300,191
1.386673777047E12,57,123,53,91,1550,1300,191
1.386673777329E12,60,222,57,255,1520,1300,191
1.386673777613E12,64,187,59,203,1570,1300,191
1.386673777897E12,66,116,61,255,1610,1300,191
1.386673778186E12,66,118,64,110,1490,1300,191
1.386673778476E12,82,182,66,107,1780,1300,191
1.386673778766E12,85,255,82,248,1870,1300,191
1.386673779057E12,83,63,69,38,1940,1300,191
1.386673779341E12,77,73,107,159,1640,1300,191
1.386673779633E12,64,68,81,82,1350,1300,191
1.386673779933E12,61,81,80,81,1000,1300,191
1.386673780343E12,63,106,66,81,1470,1300,175
1.386673780996E12,255,188,68,255,2000,1300,171
1.386673781701E12,255,255,255,255,2000,1300,171
1.386673782359E12,255,117,227,183,1000,1700,171
1.386673783006E12,255,164,108,255,1000,1700,171
1.386673783661E12,74,255,96,167,1000,1700,171
1.386673784322E12,114,255,152,255,2000,1300,171
1.386673785634E12,45,255,95,255,2000,1300,171
1.386673786205E12,48,85,41,195,1170,1300,191
1.386673786504E12,51,149,40,96,1700,1300,191
1.38667378679E12,60,134,47,169,1790,1300,191
1.386673787077E12,67,129,54,156,1830,1300,191
1.38667378737E12,71,119,61,151,1780,1300,191
1.386673787664E12,73,114,66,133,1700,1300,191
1.386673787949E12,76,90,69,129,1740,1300,191
1.386673788232E12,79,104,73,123,1700,1300,191
1.386673788524E12,83,120,75,116,1810,1300,191
1.386673788811E12,81,112,77,130,1660,1300,191
1.386673789097E12,83,117,80,125,1660,1300,191
1.386673789386E12,82,112,82,122,1540,1300,191
1.386673789677E12,83,112,83,121,1560,1300,191
1.386673789974E12,82,101,86,127,1490,1300,191
1.386673790265E12,85,103,84,100,1580,1300,191
1.386673790567E12,99,103,83,109,1360,1300,191
1.386673790864E12,94,99,70,107,1650,1300,191
1.38667379115E12,96,100,95,103,1910,1300,191
1.38667379144E12,96,104,103,110,1370,1300,191
1.386673791737E12,93,107,97,110,1460,1300,191
1.386673792023E12,85,105,104,110,1230,1300,191
1.386673792311E12,85,102,73,108,1090,1300,191
1.386673792602E12,90,96,87,109,1700,1300,191
1.38667379289E12,96,91,92,100,1750,1300,191
1.386673793175E12,96,89,92,100,1740,1300,191
1.386673793463E12,90,93,92,104,1510,1300,191
1.386673793759E12,93,96,92,105,1630,1300,191
1.386673794339E12,90,94,92,103,1510,1300,191
1.386673794633E12,90,76,92,107,1480,1300,191
1.386673794915E12,91,106,89,112,1660,1300,191
1.386673795204E12,91,108,90,120,1630,1300,191
1.386673795492E12,85,110,89,122,1390,1300,191
1.386673795787E12,81,114,87,121,1330,1300,191
1.386673796072E12,85,101,87,121,1470,1300,191
1.386673796359E12,83,105,84,85,1520,1300,191
1.386673796652E12,82,103,85,110,1460,1300,191
1.386673796944E12,83,106,84,115,1510,1300,191
1.38667379725E12,83,103,83,111,1530,1300,191
1.386673797537E12,81,113,81,114,1510,1300,191
1.386673797829E12,81,113,82,101,1500,1300,191
1.386673798119E12,79,117,81,126,1420,1300,191
1.38667379841E12,79,116,81,126,1450,1300,191
1.386673798698E12,79,112,80,124,1490,1300,191
1.386673798987E12,81,102,80,125,1540,1300,191
1.386673799277E12,78,114,80,115,1450,1300,191
1.386673799564E12,79,103,79,118,1510,1300,191
1.386673799852E12,79,110,79,113,1510,1300,191
1.386673800144E12,78,110,80,113,1460,1300,191
1.386673800434E12,79,106,80,115,1480,1300,191
1.386673800735E12,78,109,80,119,1450,1300,191
1.386673801036E12,78,107,77,118,1550,1300,191
1.386673801326E12,76,109,77,118,1470,1300,191
1.386673801616E12,75,109,80,117,1340,1300,191
1.386673801908E12,77,109,78,118,1460,1300,191
1.386673802197E12,79,108,77,117,1570,1300,191
1.386673802486E12,79,107,77,114,1570,1300,191
1.386673802771E12,78,107,80,112,1510,1300,191
1.386673803057E12,77,107,80,115,1420,1300,191
1.386673803349E12,76,113,80,116,1350,1300,191
1.386673803639E12,78,113,80,118,1460,1300,191
1.38667380393E12,81,110,79,131,1600,1300,191
1.386673804218E12,81,114,80,125,1550,1300,191
1.386673804504E12,81,116,80,121,1580,1300,191
1.386673804792E12,81,143,80,125,1590,1300,191
1.386673805083E12,77,106,80,130,1390,1300,191
1.386673805371E12,78,105,80,110,1470,1300,191
1.38667380566E12,79,105,80,119,1460,1300,191
1.38667380595E12,81,106,80,118,1560,1300,191
1.386673806237E12,81,106,80,109,1550,1300,191
1.386673806525E12,80,113,80,112,1520,1300,191
1.386673806812E12,78,121,82,110,1390,1300,191
1.386673807109E12,78,116,82,126,1400,1300,191
1.3866738074E12,81,110,80,124,1560,1300,191
1.386673807685E12,81,148,81,121,1520,1300,191
1.386673807972E12,81,106,79,122,1620,1300,191
1.386673808264E12,81,105,82,114,1490,1300,191
1.386673808566E12,79,103,83,112,1430,1300,191
1.386673808855E12,79,103,79,117,1520,1300,191
