time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386673558718E12,31,198,32,135,1500,1500,191
1.386673559E12,31,174,32,160,1500,1500,191
1.38667355929E12,30,159,32,255,1500,1500,191
1.386673559574E12,30,134,32,115,1500,1500,191
1.386673559856E12,30,128,32,165,1500,1500,191
1.386673560139E12,31,163,32,151,1500,1500,191
1.386673560424E12,31,159,33,255,1500,1500,191
1.386673560706E12,31,139,32,208,1500,1500,191
1.38667356099E12,31,207,32,174,1500,1500,191
1.386673561277E12,30,124,32,174,1500,1500,191
1.386673561565E12,30,112,32,178,1500,1500,191
1.38667356185E12,30,111,32,255,1500,1500,191
1.386673562136E12,31,255,32,219,1500,1500,191
1.386673562421E12,30,189,32,162,1500,1500,191
1.386673562706E12,31,125,33,192,1500,1500,191
1.386673562992E12,30,163,32,191,1500,1500,191
1.386673563274E12,31,172,32,179,1500,1500,191
1.386673563557E12,30,117,32,255,1500,1500,191
1.38667356384E12,30,255,32,125,1500,1500,191
1.386673564121E12,31,139,32,191,1500,1500,191
1.386673564406E12,31,154,32,141,1500,1500,191
1.386673564687E12,30,158,32,180,1500,1500,191
1.386673564976E12,31,152,32,255,1500,1500,191
1.386673565262E12,30,156,32,134,1500,1500,191
1.386673565545E12,30,132,33,255,1500,1500,191
1.38667356583E12,30,128,32,143,1500,1500,191
1.386673566116E12,30,174,32,159,1500,1500,191
1.386673566401E12,30,255,32,170,1500,1500,191
1.386673566684E12,30,192,32,172,1500,1500,191
1.38667356697E12,31,121,32,255,1500,1500,191
1.386673567251E12,31,255,32,135,1500,1500,191
1.386673567532E12,30,183,32,179,1500,1500,191
1.386673567816E12,30,159,32,255,1500,1500,191
1.386673568096E12,30,126,32,178,1500,1500,191
1.386673568409E12,30,159,32,200,1500,1500,191
1.386673568698E12,31,159,32,155,1500,1500,191
1.386673568984E12,30,152,32,255,1500,1500,191
1.386673569264E12,31,121,32,176,1500,1500,191
1.386673569543E12,31,200,32,161,1500,1500,191
1.386673569826E12,31,170,32,182,1500,1500,191
1.386673570107E12,31,113,32,178,1500,1500,191
1.386673570397E12,30,121,32,255,1500,1500,191
1.386673570681E12,30,255,32,92,1500,1500,191
1.386673571102E12,30,130,32,174,1500,1500,191
1.38667357248E12,31,128,32,192,1500,1500,191
1.38667357278E12,30,171,32,174,1500,1500,191
1.386673573077E12,30,58,32,34,1500,1500,191
1.386673573363E12,31,43,32,36,1500,1500,191
1.386673573644E12,35,31,35,27,1500,1500,191
1.386673573927E12,45,156,46,111,1500,1500,191
1.386673574223E12,53,20,255,168,1500,1500,191
1.3866735745E12,255,17,255,187,1500,1500,191
1.386673583735E12,67,175,65,214,1500,1500,191
1.386673584022E12,66,159,63,250,1500,1500,191
1.386673584306E12,67,193,63,250,1500,1500,191
1.386673584592E12,67,175,65,250,1500,1500,191
1.386673584874E12,67,161,65,225,1500,1500,191
1.38667358516E12,66,159,65,251,1500,1500,191
1.386673585444E12,67,168,63,250,1500,1500,191
1.386673585724E12,65,169,65,245,1500,1500,191
1.38667358601E12,67,169,65,246,1500,1500,191
1.386673586297E12,67,164,63,242,1500,1500,191
1.386673586591E12,67,170,63,255,1500,1500,191
1.38667358688E12,67,195,66,232,1500,1500,191
1.386673587171E12,66,174,64,251,1500,1500,191
1.386673587458E12,67,170,64,241,1500,1500,191
1.3866735879E12,67,164,63,255,1750,1500,191
1.386673588191E12,67,174,63,240,1750,1500,191
1.386673588517E12,67,170,64,245,1500,1500,191
1.386673588814E12,67,164,64,248,1500,1500,191
1.386673589096E12,67,164,63,251,1500,1500,191
1.386673589396E12,67,160,64,248,1500,1500,191
1.38667358972E12,67,169,64,255,1500,1500,191
1.386673590006E12,65,253,65,219,1500,1500,191
1.386673590329E12,67,182,64,252,1540,1500,191
1.38667359061E12,67,159,63,248,1590,1500,191
1.386673590892E12,67,169,63,250,1580,1500,191
1.3866735912E12,67,177,64,250,1560,1500,191
1.386673591511E12,67,170,65,240,1490,1300,191
1.386673591793E12,67,182,65,188,1540,1300,191
1.386673592081E12,69,176,66,180,1550,1300,191
1.386673592375E12,69,154,70,125,1450,1300,191
1.38667359266E12,72,154,69,173,1600,1300,191
1.386673592948E12,76,155,71,169,1670,1300,191
1.386673593233E12,75,160,76,171,1490,1300,191
1.38667359352E12,75,159,76,165,1500,1300,191
1.386673593808E12,79,155,78,169,1540,1300,191
1.386673594096E12,79,159,78,170,1530,1300,191
1.386673594383E12,64,154,79,164,1460,1300,191
1.386673594677E12,255,153,91,163,1450,1300,191
1.386673594959E12,255,153,255,174,1810,1300,191
1.386673595249E12,255,148,255,183,1860,1300,191
1.386673595535E12,255,153,255,155,1200,1300,191
1.386673595815E12,255,151,255,169,1700,1300,191
1.386673596098E12,255,154,255,162,1350,1300,191
1.386673596379E12,255,161,255,163,1380,1300,191
1.386673596675E12,255,160,255,154,1240,1300,191
1.386673596959E12,255,148,255,164,1460,1300,191
1.386673597246E12,255,148,255,154,1400,1300,191
1.38667359753E12,110,153,255,158,1380,1300,191
1.386673597816E12,88,150,255,158,1380,1300,191
1.386673598112E12,88,144,64,161,1650,1300,191
1.386673598394E12,90,148,90,173,1580,1300,191
1.386673598713E12,90,144,92,153,1510,1300,191
1.386673599381E12,90,144,90,165,1750,1300,175
1.386673600041E12,85,188,88,255,1590,1300,175
1.386673600707E12,76,255,82,217,1460,1300,175
1.386673601406E12,61,255,75,255,1230,1300,175
1.386673602058E12,255,255,255,255,2000,1300,171
1.386673602708E12,255,255,255,255,2000,1700,171
1.38667360336E12,255,255,158,255,1000,1700,171
1.386673604022E12,138,255,104,255,1000,1700,171
1.38667360468E12,100,255,132,255,1000,1300,171
1.386673605331E12,114,255,137,255,2000,1300,171
1.386673605994E12,58,219,116,255,2000,1300,171
1.386673606651E12,67,117,63,146,1250,1300,191
1.386673606941E12,69,116,57,132,1780,1300,191
1.386673607226E12,77,114,66,138,1840,1300,191
1.386673607522E12,81,109,69,120,1870,1300,191
1.386673608049E12,83,100,77,111,1750,1300,191
1.38667360834E12,83,97,80,109,1660,1300,191
1.386673608625E12,82,96,80,114,1610,1300,191
1.386673608918E12,82,97,82,108,1550,1300,191
1.386673609206E12,83,99,85,107,1490,1300,191
1.386673609505E12,86,100,85,104,1600,1300,191
1.386673609792E12,88,99,85,105,1640,1300,191
1.386673610081E12,88,100,86,110,1610,1300,191
1.386673610363E12,88,100,87,105,1620,1300,191
1.386673610649E12,85,100,85,107,1530,1300,191
1.386673610938E12,85,96,85,110,1540,1300,191
1.386673611229E12,86,100,83,105,1630,1300,191
1.386673611516E12,82,109,83,119,1500,1300,191
1.386673611803E12,81,105,85,107,1390,1300,191
1.386673612092E12,81,106,82,115,1470,1300,191
1.386673612381E12,82,120,82,112,1560,1300,191
1.386673612668E12,80,107,81,140,1500,1300,191
1.386673612961E12,81,90,82,255,1480,1300,191
1.386673613253E12,81,106,82,255,1480,1300,191
1.386673613548E12,80,88,82,255,1470,1300,191
1.386673613838E12,81,117,81,255,1510,1300,191
1.386673614126E12,81,117,81,150,1530,1300,191
1.386673614423E12,80,118,82,127,1470,1300,191
1.38667361471E12,81,119,82,134,1480,1300,191
1.386673614993E12,81,87,83,128,1470,1300,191
1.38667361528E12,81,102,82,149,1520,1300,191
1.386673615568E12,80,103,81,117,1500,1300,191
1.386673615857E12,78,103,82,115,1400,1300,191
1.386673616145E12,80,106,82,114,1470,1300,191
1.386673616434E12,80,106,82,117,1480,1300,191
1.386673616717E12,83,103,83,112,1560,1300,191
1.386673617015E12,80,106,81,114,1490,1300,191
1.3866736173E12,81,103,81,114,1530,1300,191
1.386673617589E12,80,105,82,110,1450,1300,191
1.386673617881E12,81,102,80,117,1560,1300,191
1.386673618174E12,83,103,82,115,1600,1300,191
1.386673618465E12,81,110,83,122,1460,1300,191
1.38667361876E12,80,106,83,109,1430,1300,191
1.386673619047E12,81,106,83,106,1470,1300,191
1.386673619338E12,81,109,81,110,1530,1300,191
1.386673619628E12,83,103,82,104,1580,1300,191
1.386673619923E12,82,110,81,102,1580,1300,191
1.386673620216E12,82,103,81,108,1580,1300,191
1.386673620508E12,83,109,83,104,1530,1300,191
1.386673620992E12,81,110,82,102,1480,1300,191
1.386673621276E12,79,109,82,114,1390,1300,191
1.386673621563E12,81,106,82,113,1520,1300,191
1.386673621864E12,79,106,98,110,1550,1300,191
1.386673622153E12,83,100,85,111,1490,1300,191
1.386673622443E12,88,102,84,116,1650,1300,191
1.386673622735E12,69,103,85,115,1250,1300,191
1.386673623022E12,81,107,87,114,1310,1300,191
1.386673623314E12,83,100,82,113,1540,1300,191
1.3866736236E12,85,97,83,114,1620,1300,191
1.386673623893E12,85,101,82,110,1640,1300,191
1.38667362418E12,83,103,85,112,1480,1300,191
1.386673624478E12,85,102,84,112,1590,1300,191
1.386673624768E12,82,99,88,111,1360,1300,191
1.38667362506E12,83,103,85,107,1470,1300,191
1.386673625348E12,85,98,85,113,1570,1300,191
1.386673625636E12,86,116,75,136,1550,1300,191
1.386673625921E12,86,117,90,127,1420,1300,191
1.386673626209E12,83,124,87,130,1400,1300,191
1.386673626503E12,85,115,84,124,1590,1300,191
1.38667362679E12,83,116,85,121,1480,1300,191
1.386673627086E12,83,128,90,118,1360,1300,191
1.386673627378E12,85,116,92,129,1450,1300,191
1.386673627699E12,88,110,86,125,1630,1300,191
