time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386625366349E12,157,121,163,140,1500,1500,191
1.386625366735E12,163,116,157,130,1500,1500,191
1.38662536702E12,169,121,157,136,1500,1500,191
1.386625367507E12,170,117,156,133,1500,1500,191
1.386625367891E12,163,121,156,132,1500,1500,191
1.386625368268E12,154,121,159,140,1500,1500,191
1.386625368629E12,168,120,157,129,1500,1500,191
1.386625368991E12,168,118,162,134,1500,1500,191
1.386625369286E12,163,113,155,139,1500,1500,191
1.386625369588E12,164,123,154,134,1500,1500,191
1.386625370025E12,159,116,158,137,1500,1500,191
1.386625370357E12,170,120,158,134,1500,1500,191
1.386625370651E12,163,119,156,133,1500,1500,191
1.386625370986E12,178,121,157,128,1500,1500,191
1.386625371393E12,157,121,156,138,1500,1500,191
1.386625371783E12,162,118,154,131,1500,1500,191
1.386625372113E12,167,120,157,135,1500,1500,191
1.386625372496E12,168,118,153,136,1500,1500,191
1.386625372784E12,174,120,158,135,1500,1500,191
1.386625373172E12,157,121,157,136,1500,1500,191
1.386625373469E12,174,120,162,129,1500,1500,191
1.386625373773E12,164,118,159,134,1500,1500,191
1.386625374125E12,39,116,157,128,1500,1500,191
1.386625374546E12,168,115,157,137,1500,1500,191
1.386625374932E12,169,128,155,128,1500,1500,191
1.386625375561E12,157,116,156,140,1500,1500,191
1.386625376177E12,156,118,157,133,1500,1500,191
1.386625376567E12,159,119,158,133,1500,1500,191
1.386625376871E12,177,121,155,136,1500,1500,191
1.386625377209E12,163,119,157,143,1500,1500,191
1.386625377595E12,168,121,158,124,1500,1500,191
1.386625377923E12,168,121,161,132,1500,1500,191
1.386625378252E12,158,120,163,138,1500,1500,191
1.386625378647E12,158,116,156,133,1500,1500,191
1.38662537906E12,168,121,163,136,1500,1500,191
1.386625379403E12,42,121,156,135,1500,1500,191
1.386625379785E12,49,114,157,136,1500,1500,191
1.386625380165E12,169,132,162,125,1500,1500,191
1.386625380553E12,163,121,85,131,1500,1500,191
1.386625380946E12,187,121,156,130,1500,1500,191
1.386625381282E12,169,119,163,135,1500,1500,191
1.386625381617E12,169,116,158,128,1500,1500,191
1.386625381999E12,170,114,159,134,1500,1500,191
1.386625382348E12,164,121,157,134,1500,1500,191
1.386625382634E12,168,112,157,145,1500,1500,191
1.386625383107E12,163,125,156,124,1500,1500,191
1.386625383531E12,164,116,158,130,1500,1500,191
1.386625383812E12,161,117,156,131,1500,1500,191
1.38662538412E12,163,117,158,135,1500,1500,191
1.386625384621E12,163,117,155,136,1500,1500,191
1.386625384919E12,169,113,153,128,1500,1500,191
1.386625385348E12,164,115,152,138,1500,1500,191
1.386625385784E12,162,118,156,137,1500,1500,191
1.386625386116E12,164,116,155,135,1500,1500,191
1.386625386418E12,164,116,156,135,1500,1500,191
1.386625386861E12,168,124,155,128,1500,1500,191
1.386625387243E12,159,120,153,136,1500,1500,191
1.386625387833E12,168,120,157,129,1750,1500,191
1.386625388183E12,170,124,173,126,1750,1500,191
1.386625388604E12,164,114,157,144,1500,1500,191
1.386625388936E12,176,118,155,127,1500,1500,191
1.386625389322E12,169,121,161,136,1500,1500,191
1.386625390093E12,159,120,156,132,1500,1500,191
1.386625390486E12,163,120,161,130,1500,1500,191
1.386625390916E12,163,124,156,125,1500,1500,191
1.386625391342E12,185,114,156,134,1500,1500,191
1.386625391737E12,157,125,162,136,1500,1500,191
1.386625392087E12,163,124,162,130,1500,1500,191
1.386625392422E12,155,124,163,126,1500,1500,191
1.386625392848E12,162,117,168,131,1500,1500,191
1.386625393131E12,168,113,168,139,1500,1500,191
1.386625393472E12,164,128,168,121,1500,1500,191
1.386625393822E12,153,113,148,141,1500,1500,191
1.386625394207E12,159,121,161,131,1500,1450,191
1.386625395232E12,174,116,120,136,1500,1300,191
1.38662539557E12,163,120,163,134,1500,1300,191
1.386625396045E12,158,129,162,126,1500,1300,191
1.386625396469E12,65,112,157,128,1500,1300,191
1.386625397276E12,66,132,68,130,1500,1300,191
1.386625397615E12,67,255,68,146,1000,1300,191
1.386625397954E12,67,255,69,255,1000,1300,191
1.386625398282E12,77,255,71,255,1000,1300,191
1.38662539862E12,91,255,82,255,1000,1300,191
1.386625399017E12,107,255,94,255,1000,1300,191
1.386625399352E12,134,255,118,255,1000,1300,191
1.386625399639E12,134,255,128,255,1000,1300,191
1.386625399927E12,110,255,168,255,1000,1300,191
1.386625400208E12,255,255,166,255,1000,1300,191
1.386625400486E12,143,255,255,255,1000,1300,191
