time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386624567045E12,255,55,255,60,1500,1500,191
1.386624567328E12,255,54,255,61,1500,1500,191
1.386624567609E12,255,55,255,59,1500,1500,191
1.386624567892E12,255,55,255,60,1500,1500,191
1.386624568177E12,255,55,255,61,1500,1500,191
1.386624568461E12,255,54,255,60,1500,1500,191
1.386624568747E12,255,54,255,60,1500,1500,191
1.386624569026E12,255,54,255,60,1500,1500,191
1.386624569306E12,255,54,255,61,1500,1500,191
1.386624569589E12,255,55,255,60,1500,1500,191
1.38662456987E12,255,55,255,61,1500,1500,191
1.38662457016E12,255,54,255,61,1500,1500,191
1.386624570457E12,255,54,255,60,1500,1500,191
1.386624570755E12,255,54,72,59,1500,1500,191
1.38662457105E12,255,54,255,30,1500,1500,191
1.386624571334E12,255,54,255,18,1500,1500,191
1.386624571622E12,255,54,255,60,1500,1500,191
1.386624571908E12,255,55,255,61,1500,1500,191
1.386624572194E12,255,55,255,61,1500,1500,191
1.386624572495E12,255,64,255,67,1500,1500,191
1.386624572788E12,75,121,36,114,1500,1500,191
1.386624573078E12,66,255,16,255,1500,1500,191
1.386624573651E12,127,200,19,130,1500,1500,191
1.386624573958E12,35,255,24,255,1500,1500,191
1.386624574245E12,138,255,23,255,1500,1500,191
1.386624574539E12,139,255,16,38,1500,1500,191
1.386624574824E12,139,255,35,255,1500,1500,191
1.386624575124E12,138,255,41,255,1500,1500,191
1.386624575407E12,139,255,36,255,1500,1500,191
1.386624575703E12,139,255,38,255,1500,1500,191
1.386624576002E12,145,255,141,255,1500,1500,191
1.386624576287E12,139,255,141,255,1500,1500,191
1.386624576586E12,142,255,138,255,1500,1500,191
1.38662457687E12,139,255,137,255,1500,1500,191
1.386624577181E12,135,255,136,33,1500,1500,191
1.386624577473E12,143,255,137,34,1500,1500,191
1.386624577773E12,170,255,151,255,1500,1500,191
1.386624578059E12,144,255,180,255,1500,1500,191
