time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386476627798E12,93,41,215,42,1480,1400,191
1.386476628063E12,194,41,224,42,1480,1400,191
1.386476628334E12,255,41,221,42,1480,1400,191
1.386476628599E12,154,41,222,42,1480,1400,191
1.386476628866E12,95,41,213,42,1480,1400,191
1.386476629134E12,255,41,215,42,1480,1400,191
1.386476629404E12,128,41,149,42,1480,1400,191
1.386476629671E12,114,41,202,42,1480,1400,191
1.386476629938E12,130,41,194,42,1480,1400,191
1.386476630206E12,125,41,228,42,1480,1400,191
1.386476630481E12,138,41,146,42,1480,1400,191
1.386476630747E12,128,41,142,42,1480,1400,191
1.38647663102E12,125,41,142,42,1480,1400,191
1.386476631286E12,130,41,141,42,1000,1400,191
1.386476631553E12,133,40,139,42,1000,1400,191
1.386476631836E12,130,38,143,41,1000,1400,191
1.386476632105E12,112,36,141,41,1000,1400,191
1.386476632378E12,133,48,144,40,1000,1400,191
1.386476632649E12,120,82,148,39,1000,1400,191
1.386476632925E12,118,95,144,38,1000,1400,191
1.386476633198E12,96,132,146,37,1000,1400,191
1.386476633474E12,111,113,152,36,1000,1400,191
1.386476633741E12,187,118,153,34,1000,1400,191
1.386476634013E12,237,124,152,34,1000,1400,191
1.386476634286E12,255,133,154,30,1000,1400,191
1.386476634552E12,138,192,152,26,1000,1400,191
1.386476634818E12,255,148,162,38,1000,1400,191
1.386476635083E12,255,139,159,49,1000,1400,191
1.386476635349E12,255,128,170,60,1000,1400,191
1.386476635614E12,255,133,168,68,1000,1400,191
1.38647663588E12,255,137,173,77,1000,1400,191
1.386476636148E12,255,138,174,82,1000,1400,191
1.386476636421E12,255,139,169,85,1000,1400,191
1.386476636692E12,255,125,176,88,1000,1400,191
1.38647663696E12,255,137,175,91,1000,1400,191
1.386476637231E12,255,133,184,95,1000,1400,191
1.386476637501E12,255,129,173,98,1000,1400,191
1.386476637775E12,255,128,200,108,1000,1400,191
1.386476638043E12,255,132,172,102,1000,1400,191
1.386476638319E12,255,129,163,107,1000,1400,191
1.386476638587E12,255,141,255,104,1000,1400,191
1.38647663886E12,255,124,37,104,1000,1400,191
1.386476639129E12,255,130,255,107,1000,1400,191
1.386476639399E12,255,141,95,107,1000,1400,191
1.386476639668E12,80,125,194,113,1000,1400,191
1.386476639942E12,111,132,255,109,1000,1400,191
1.386476640216E12,141,128,71,113,1000,1400,191
1.386476640488E12,255,124,95,112,1000,1400,191
1.38647664076E12,255,121,80,112,1000,1400,191
1.386476641035E12,59,119,68,113,1000,1400,191
1.386476641309E12,128,120,58,115,1000,1400,191
1.38647664158E12,96,122,74,114,1000,1400,191
1.386476641858E12,65,118,198,118,1000,1400,191
1.386476642135E12,255,113,199,112,1000,1400,191
1.386476642418E12,255,114,201,110,1000,1400,191
1.386476642698E12,86,117,179,115,1000,1400,191
1.386476642967E12,61,114,194,110,1000,1400,191
1.386476643237E12,255,113,174,114,1000,1400,191
1.386476643507E12,255,109,184,110,1000,1400,191
1.386476643775E12,255,105,180,110,1000,1400,191
1.386476644057E12,237,106,179,106,1000,1400,191
1.386476644327E12,255,103,170,109,1000,1400,191
1.386476644603E12,143,104,174,112,1000,1400,191
1.386476644877E12,59,104,181,108,1000,1400,191
1.38647664515E12,96,93,181,105,1000,1400,191
1.38647664542E12,97,100,57,103,1000,1400,191
1.386476645692E12,96,94,85,101,1000,1400,191
1.386476645963E12,99,91,75,107,1000,1400,191
1.386476646232E12,104,89,96,100,1000,1400,191
1.386476646504E12,106,87,99,100,1000,1400,191
1.386476646783E12,107,85,102,95,1000,1400,191
1.386476647056E12,114,83,105,98,1000,1400,191
1.386476647325E12,117,83,108,94,1000,1400,191
1.386476647607E12,121,103,70,91,1000,1400,191
1.386476647892E12,121,113,117,91,1790,1400,191
1.386476648171E12,125,70,114,90,1790,1400,191
1.386476648442E12,125,47,116,89,1790,1400,191
1.386476648719E12,125,97,121,85,1790,1400,191
1.386476648998E12,129,94,118,111,1790,1400,191
1.386476649279E12,128,93,116,44,1790,1400,191
1.386476649557E12,81,91,120,105,1790,1400,191
