time,LF,RF,LR,RR,setTurn,setSpeed,booleans
1.386348329413E12,13,6,28,7,2000,1500,191
1.386348330712E12,11,6,9,7,2000,1500,191
1.386348332007E12,11,6,9,7,2000,1500,191
1.38634834359E12,15,6,33,7,2000,1500,191
1.386348344894E12,14,6,33,7,2000,1500,191
1.386348346193E12,14,6,36,7,2000,1500,191
1.386348347493E12,14,6,26,7,2000,1500,191
1.38634836537E12,14,6,29,7,2000,1500,191
1.386348365665E12,14,6,31,7,2000,1500,191
1.386348365949E12,14,6,33,7,2000,1500,191
1.386348366234E12,15,6,33,7,2000,1500,191
1.38634836652E12,15,6,26,7,2000,1500,191
1.386348366821E12,14,6,29,7,2000,1500,191
1.386348367108E12,14,6,29,7,2000,1500,191
1.386348367393E12,14,6,30,7,2000,1500,191
1.38634836768E12,15,6,28,7,2000,1500,191
1.386348367965E12,14,6,27,7,2000,1500,191
1.386348368249E12,14,6,36,7,2000,1500,191
1.386348368535E12,15,6,26,7,2000,1500,191
1.386348368826E12,15,6,30,7,2000,1500,191
1.386348369114E12,14,6,28,7,2000,1500,191
1.386348369398E12,14,6,34,7,2000,1500,191
1.386348369682E12,15,6,32,7,2000,1500,191
1.386348369969E12,14,6,29,7,2000,1500,191
1.386348370253E12,14,6,28,7,2000,1500,191
1.386348370539E12,14,6,32,7,2000,1500,191
1.386348370823E12,15,6,27,7,2000,1500,191
1.386348371114E12,14,6,28,7,2000,1500,191
1.386348371404E12,15,6,28,7,2000,1500,191
1.386348371687E12,14,6,26,7,2000,1500,191
1.38634837197E12,14,6,31,7,2000,1500,191
1.386348372256E12,14,6,27,7,2000,1500,191
1.386348372541E12,15,6,27,7,2000,1500,191
1.386348372833E12,15,6,40,7,2000,1500,191
1.386348373119E12,15,6,35,7,2000,1500,191
1.386348373416E12,16,6,24,7,2000,1500,191
1.386348373701E12,14,6,26,7,2000,1500,191
1.386348373985E12,14,6,36,7,2000,1500,191
1.386348374268E12,14,6,27,7,2000,1500,191
1.386348374557E12,15,6,28,7,2000,1500,191
